# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
3.42521 -8.47065e-13 6.54882e-13 -7.32358e-13 -5.84033e-13 1.1175e-12 0 1.23405e-13 -6.85924e-13 -5.25718e-13 0 1.8745e-14 -4.09128e-13 -4.22069e-13 0 -1.98172e-14 -2.87043e-20 -1.84866e-13 0 1.84866e-13 -8.42977e-13 8.42977e-13 0 -1.85945e-12 8.16067e-13 -4.96563e-13 2.48281e-13 -3.48609e-14 2.45651e-13 8.57889e-13 4.2207e-13 0 -1.65216e-12 9.3974e-13 -1.03588e-13 4.37696e-13 8.77916e-13 5.25718e-13 0 -1.17032e-12 9.14608e-13 4.46103e-13 5.84033e-13 0 -2.74527e-13 -1.1175e-12 0
3.89403 -8.63364e-13 6.76486e-13 -7.62909e-13 -6.08687e-13 1.17262e-12 0 1.44546e-13 -7.24799e-13 -5.50052e-13 0 3.06252e-14 -4.21008e-13 -4.47483e-13 0 -2.30271e-14 -7.4896e-21 -1.98722e-13 0 1.98722e-13 -8.8112e-13 8.8112e-13 0 -1.93056e-12 8.46621e-13 -5.18535e-13 2.59268e-13 -7.2067e-14 2.70083e-13 8.8807e-13 4.47483e-13 0 -1.72542e-12 9.81368e-13 -1.21519e-13 4.65006e-13 9.20249e-13 5.50052e-13 0 -1.1983e-12 9.31776e-13 4.28233e-13 6.08687e-13 0 -2.91498e-13 -1.17262e-12 0
4.36285 -8.49915e-13 6.77135e-13 -7.72394e-13 -6.16668e-13 1.19765e-12 0 1.66747e-13 -7.47036e-13 -5.59603e-13 0 4.46465e-14 -4.19429e-13 -4.6254e-13 0 -2.6649e-14 2.09234e-20 -2.08793e-13 0 2.08793e-13 -8.9584e-13 8.9584e-13 0 -1.94594e-12 8.52182e-13 -5.25825e-13 2.62912e-13 -1.17938e-13 2.91557e-13 8.92155e-13 4.6254e-13 0 -1.75181e-12 9.96692e-13 -1.40098e-13 4.81795e-13 9.39603e-13 5.59603e-13 0 -1.18589e-12 9.16629e-13 3.87802e-13 6.16668e-13 0 -3.0181e-13 -1.19765e-12 0
4.83166 -8.07433e-13 6.56936e-13 -7.6112e-13 -6.08251e-13 1.19278e-12 0 1.89807e-13 -7.5285e-13 -5.54358e-13 0 6.03444e-14 -4.04512e-13 -4.67039e-13 0 -3.08467e-14 5.62583e-20 -2.14937e-13 0 2.14937e-13 -8.87459e-13 8.87459e-13 0 -1.90633e-12 8.32877e-13 -5.18139e-13 2.59069e-13 -1.71598e-13 3.09978e-13 8.70718e-13 4.67039e-13 0 -1.73169e-12 9.86131e-13 -1.5896e-13 4.87791e-13 9.36653e-13 5.54358e-13 0 -1.13355e-12 8.69931e-13 3.26005e-13 6.08251e-13 0 -3.05317e-13 -1.19278e-12 0
5.30048 -7.37623e-13 6.16627e-13 -7.30046e-13 -5.84236e-13 1.15909e-12 0 2.13437e-13 -7.42962e-13 -5.34724e-13 0 7.71072e-14 -3.7678e-13 -4.61042e-13 0 -3.58099e-14 9.80029e-20 -2.171e-13 0 2.17099e-13 -8.57036e-13 8.57037e-13 0 -1.81423e-12 7.89594e-13 -4.95526e-13 2.47763e-13 -2.3176e-13 3.25308e-13 8.2518e-13 4.61042e-13 0 -1.66686e-12 9.5095e-13 -1.77628e-13 4.82969e-13 9.12855e-13 5.34724e-13 0 -1.04303e-12 7.93538e-13 2.44906e-13 5.84236e-13 0 -3.02055e-13 -1.15909e-12 0
5.7693 -6.43099e-13 5.57541e-13 -6.80726e-13 -5.45906e-13 1.09856e-12 0 2.37267e-13 -7.18554e-13 -5.01505e-13 0 9.42023e-14 -3.3712e-13 -4.44869e-13 0 -4.17508e-14 1.45132e-19 -2.15316e-13 0 2.15316e-13 -8.06318e-13 8.06319e-13 0 -1.67378e-12 7.23942e-13 -4.5836e-13 2.2918e-13 -2.9679e-13 3.37564e-13 7.57742e-13 4.44869e-13 0 -1.56051e-12 8.932e-13 -1.95516e-13 4.67545e-13 8.70364e-13 5.01505e-13 0 -9.17264e-13 6.90313e-13 1.47344e-13 5.45906e-13 0 -2.92246e-13 -1.09857e-12 0
6.23811 -5.27263e-13 4.81557e-13 -6.15239e-13 -4.94967e-13 1.01396e-12 0 2.60852e-13 -6.81207e-13 -4.55868e-13 0 1.1081e-13 -2.86742e-13 -4.19086e-13 0 -4.88983e-14 1.96413e-19 -2.09714e-13 0 2.09714e-13 -7.37664e-13 7.37665e-13 0 -1.49061e-12 6.38189e-13 -4.07308e-13 2.03654e-13 -3.64781e-13 3.46815e-13 6.7128e-13 4.19086e-13 0 -1.41704e-12 8.15637e-13 -2.11953e-13 4.41964e-13 8.11946e-13 4.55868e-13 0 -7.60317e-13 5.64013e-13 3.67999e-14 4.94967e-13 0 -2.76297e-13 -1.01396e-12 0
6.70693 -3.94168e-13 3.91026e-13 -5.36097e-13 -4.33479e-13 9.08748e-13 0 2.83687e-13 -6.32839e-13 -3.99298e-13 0 1.26061e-13 -2.27123e-13 -3.84487e-13 0 -5.74905e-14 2.50264e-19 -2.00513e-13 0 2.00513e-13 -6.53953e-13 6.53953e-13 0 -1.2716e-12 5.35175e-13 -3.433e-13 1.7165e-13 -4.33646e-13 3.53173e-13 5.69228e-13 3.84487e-13 0 -1.24198e-12 7.21615e-13 -2.26197e-13 4.06885e-13 7.40856e-13 3.99298e-13 0 -5.77197e-13 4.19138e-13 -8.27538e-14 4.3348e-13 0 -2.54795e-13 -9.08748e-13 0
7.17575 -2.48349e-13 2.88683e-13 -4.46148e-13 -3.63771e-13 7.8696e-13 0 3.05228e-13 -5.7562e-13 -3.3354e-13 0 1.39082e-13 -1.59953e-13 -3.42069e-13 0 -6.77658e-14 3.04758e-19 -1.88019e-13 0 1.88019e-13 -5.58468e-13 5.58468e-13 0 -1.02464e-12 4.18217e-13 -2.67491e-13 1.33745e-13 -5.01211e-13 3.56791e-13 4.55438e-13 3.4207e-13 0 -1.0417e-12 6.14954e-13 -2.37463e-13 3.63164e-13 6.60705e-13 3.33541e-13 0 -3.73684e-13 2.60753e-13 -2.07027e-13 3.63771e-13 0 -2.28492e-13 -7.86961e-13 0
7.64456 -9.46498e-14 1.77559e-13 -3.48466e-13 -2.88349e-13 6.53074e-13 0 3.2491e-13 -5.11894e-13 -2.60543e-13 0 1.49036e-13 -8.70642e-14 -2.93008e-13 0 -7.99518e-14 3.57896e-19 -1.7262e-13 0 1.7262e-13 -4.54782e-13 4.54782e-13 0 -7.58325e-13 2.90986e-13 -1.81226e-13 9.06131e-14 -5.65318e-13 3.57858e-13 3.34032e-13 2.93008e-13 0 -8.23256e-13 4.99805e-13 -2.44959e-13 3.11831e-13 5.75316e-13 2.60543e-13 0 -1.56132e-13 9.4303e-14 -3.31594e-13 2.8835e-13 0 -1.98292e-13 -6.53075e-13 0
