# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
3.42521 -8.20133e-13 -5.69163e-13 -7.41876e-13 -1.34467e-12 -1.70448e-12 -1.22297e-12 -5.55557e-13 -7.14025e-13 -1.45205e-12 -2.01907e-12 -3.71814e-13 -4.77705e-13 -1.26173e-12 -1.99062e-12 -1.54924e-19 -8.32052e-20 -7.75504e-13 -1.67755e-12 7.75504e-13 8.84351e-13 3.22085e-20 -8.84351e-13 -3.41521e-13 -1.90324e-13 -2.36319e-13 -1.8288e-19 -1.82165e-19 3.71813e-13 4.77705e-13 1.26173e-12 1.67755e-12 -4.38498e-20 1.90324e-13 2.36319e-13 5.55558e-13 7.14025e-13 1.45205e-12 1.99062e-12 3.41522e-13 5.69163e-13 7.41876e-13 1.34467e-12 2.01907e-12 8.20133e-13 1.22297e-12 1.70448e-12
3.89403 -8.34522e-13 -5.81971e-13 -7.65301e-13 -1.38721e-12 -1.75947e-12 -1.25412e-12 -5.78025e-13 -7.44541e-13 -1.51847e-12 -2.10243e-12 -3.8687e-13 -4.99194e-13 -1.31952e-12 -2.08341e-12 -1.54371e-19 -7.19918e-20 -8.05241e-13 -1.74918e-12 8.05241e-13 9.24948e-13 4.43127e-20 -9.24948e-13 -3.53252e-13 -1.98946e-13 -2.45347e-13 -1.89956e-19 -1.89136e-19 3.8687e-13 4.99194e-13 1.31952e-12 1.74918e-12 -3.96314e-20 1.98946e-13 2.45347e-13 5.78026e-13 7.44542e-13 1.51847e-12 2.08341e-12 3.53252e-13 5.81971e-13 7.653e-13 1.38721e-12 2.10243e-12 8.34522e-13 1.25412e-12 1.75947e-12
4.36285 -8.19974e-13 -5.75596e-13 -7.65372e-13 -1.38713e-12 -1.76049e-12 -1.24444e-12 -5.84157e-13 -7.54677e-13 -1.54439e-12 -2.12668e-12 -3.91178e-13 -5.0735e-13 -1.34194e-12 -2.12084e-12 -1.46233e-19 -5.41942e-20 -8.11533e-13 -1.77202e-12 8.11533e-13 9.40518e-13 5.8486e-20 -9.40518e-13 -3.54658e-13 -2.0245e-13 -2.47327e-13 -1.91948e-19 -1.90555e-19 3.91178e-13 5.0735e-13 1.34194e-12 1.77202e-12 -3.26012e-20 2.02449e-13 2.47326e-13 5.84157e-13 7.54677e-13 1.54439e-12 2.12084e-12 3.54659e-13 5.75596e-13 7.65372e-13 1.38713e-12 2.12668e-12 8.19974e-13 1.24443e-12 1.76049e-12
4.83166 -7.7737e-13 -5.50655e-13 -7.42623e-13 -1.34519e-12 -1.7084e-12 -1.19481e-12 -5.74119e-13 -7.44697e-13 -1.53015e-12 -2.09227e-12 -3.8495e-13 -5.0233e-13 -1.32915e-12 -2.10311e-12 -1.30147e-19 -2.99613e-20 -7.94538e-13 -1.7462e-12 7.94538e-13 9.31027e-13 7.45618e-20 -9.31027e-13 -3.46064e-13 -2.01004e-13 -2.42367e-13 -1.89052e-19 -1.86441e-19 3.8495e-13 5.0233e-13 1.32915e-12 1.7462e-12 -2.28211e-20 2.01004e-13 2.42366e-13 5.74119e-13 7.44697e-13 1.53015e-12 2.10311e-12 3.46065e-13 5.50655e-13 7.42623e-13 1.34519e-12 2.09227e-12 7.7737e-13 1.19481e-12 1.7084e-12
5.30048 -7.08592e-13 -5.08432e-13 -6.98354e-13 -1.26355e-12 -1.60576e-12 -1.1075e-12 -5.48579e-13 -7.15496e-13 -1.47729e-12 -2.00146e-12 -3.68735e-13 -4.84696e-13 -1.28233e-12 -2.03209e-12 -1.0595e-19 3.18825e-22 -7.55122e-13 -1.67331e-12 7.55122e-13 8.97168e-13 9.23168e-20 -8.97168e-13 -3.28148e-13 -1.94956e-13 -2.308e-13 -1.81667e-19 -1.76983e-19 3.68734e-13 4.84696e-13 1.28233e-12 1.67331e-12 -1.05444e-20 1.94956e-13 2.308e-13 5.4858e-13 7.15496e-13 1.47729e-12 2.03209e-12 3.28149e-13 5.08432e-13 6.98354e-13 1.26355e-12 2.00146e-12 7.08592e-13 1.1075e-12 1.60576e-12
5.7693 -6.16436e-13 -4.50816e-13 -6.34572e-13 -1.14563e-12 -1.45677e-12 -9.86016e-13 -5.08674e-13 -6.68548e-13 -1.38851e-12 -1.85822e-12 -3.43393e-13 -4.55381e-13 -1.20369e-12 -1.91117e-12 -7.36438e-20 3.59855e-20 -6.94817e-13 -1.55631e-12 6.94817e-13 8.40334e-13 1.11206e-19 -8.40334e-13 -3.01912e-13 -1.84813e-13 -2.13166e-13 -1.70221e-19 -1.62447e-19 3.43393e-13 4.55381e-13 1.20369e-12 1.55631e-12 3.95584e-21 1.84812e-13 2.13166e-13 5.08674e-13 6.68548e-13 1.3885e-12 1.91117e-12 3.01912e-13 4.50816e-13 6.34572e-13 1.14563e-12 1.85822e-12 6.16436e-13 9.86016e-13 1.45677e-12
6.23811 -5.04489e-13 -3.80219e-13 -5.539e-13 -9.95974e-13 -1.26705e-12 -8.34989e-13 -4.55956e-13 -6.05839e-13 -1.26752e-12 -1.66801e-12 -3.10057e-13 -4.15652e-13 -1.0963e-12 -1.74518e-12 -3.35328e-20 7.61572e-20 -6.15755e-13 -1.39938e-12 6.15755e-13 7.62563e-13 1.30734e-19 -7.62563e-13 -2.68634e-13 -1.71217e-13 -1.90187e-13 -1.55426e-19 -1.43394e-19 3.10056e-13 4.15652e-13 1.0963e-12 1.39938e-12 2.0248e-20 1.71217e-13 1.90187e-13 4.55957e-13 6.05839e-13 1.26752e-12 1.74518e-12 2.68634e-13 3.80219e-13 5.539e-13 9.95974e-13 1.66801e-12 5.04489e-13 8.34989e-13 1.26705e-12
6.70693 -3.76982e-13 -2.99472e-13 -4.59471e-13 -8.20057e-13 -1.04344e-12 -6.59965e-13 -3.92337e-13 -5.29785e-13 -1.11893e-12 -1.43764e-12 -2.70073e-13 -3.67048e-13 -9.64005e-13 -1.54014e-12 1.3959e-20 1.19797e-19 -5.20586e-13 -1.20781e-12 5.20586e-13 6.66463e-13 1.5015e-19 -6.66463e-13 -2.29821e-13 -1.54925e-13 -1.62737e-13 -1.38049e-19 -1.20369e-19 2.70073e-13 3.67048e-13 9.64005e-13 1.20781e-12 3.77654e-20 1.54925e-13 1.62737e-13 3.92337e-13 5.29786e-13 1.11893e-12 1.54014e-12 2.29821e-13 2.99472e-13 4.59471e-13 8.20057e-13 1.43764e-12 3.76982e-13 6.59965e-13 1.04344e-12
7.17575 -2.38615e-13 -2.1171e-13 -3.548e-13 -6.24085e-13 -7.93741e-13 -4.67203e-13 -3.20009e-13 -4.43135e-13 -9.48059e-13 -1.17495e-12 -2.24954e-13 -3.11324e-13 -8.11289e-13 -1.30309e-12 6.81935e-20 1.65654e-19 -4.12375e-13 -9.87808e-13 4.12376e-13 5.55127e-13 1.68588e-19 -5.55127e-13 -1.87138e-13 -1.3677e-13 -1.31811e-13 -1.1893e-19 -9.4016e-20 2.24954e-13 3.11325e-13 8.11289e-13 9.87808e-13 5.581e-20 1.3677e-13 1.31811e-13 3.20009e-13 4.43135e-13 9.48059e-13 1.30309e-12 1.87138e-13 2.1171e-13 3.54799e-13 6.24085e-13 1.17495e-12 2.38615e-13 4.67203e-13 7.93741e-13
7.64456 -9.43727e-14 -1.20249e-13 -2.43648e-13 -4.14749e-13 -5.26402e-13 -2.63435e-13 -2.41371e-13 -3.48867e-13 -7.60734e-13 -8.88579e-13 -1.76316e-13 -2.50383e-13 -6.43104e-13 -1.04183e-12 1.28321e-19 2.12409e-19 -2.94501e-13 -7.46229e-13 2.94501e-13 4.3203e-13 1.851e-19 -4.3203e-13 -1.4235e-13 -1.1763e-13 -9.84836e-14 -9.89765e-20 -6.51068e-20 1.76316e-13 2.50384e-13 6.43104e-13 7.46229e-13 7.3742e-20 1.1763e-13 9.84835e-14 2.41371e-13 3.48867e-13 7.60734e-13 1.04183e-12 1.4235e-13 1.20248e-13 2.43648e-13 4.14749e-13 8.88579e-13 9.43723e-14 2.63435e-13 5.26402e-13
