# t  J_up_x  J_up_y  J_dn_x  J_dn_y  J_spin_x  J_spin_y
25.0431 -2.76306e-07 3.9337e-13 -2.03326e-06 -9.38679e-13 1.75696e-06 1.33205e-12
25.4599 -9.0676e-08 2.12475e-13 -1.91883e-06 -7.89412e-13 1.82816e-06 1.00189e-12
25.8767 9.54932e-08 2.72429e-14 -1.79663e-06 -6.27634e-13 1.89212e-06 6.54877e-13
26.2934 2.78318e-07 -1.58043e-13 -1.66947e-06 -4.569e-13 1.94779e-06 2.98858e-13
26.7102 4.5409e-07 -3.3912e-13 -1.54017e-06 -2.80936e-13 1.99426e-06 -5.81842e-14
27.127 6.19347e-07 -5.11876e-13 -1.41147e-06 -1.03582e-13 2.03082e-06 -4.08294e-13
27.5438 7.70938e-07 -6.7245e-13 -1.28598e-06 7.12474e-14 2.05692e-06 -7.43698e-13
27.9605 9.06082e-07 -8.17238e-13 -1.16615e-06 2.3982e-13 2.07223e-06 -1.05706e-12
28.3773 1.02241e-06 -9.4306e-13 -1.05423e-06 3.98514e-13 2.07664e-06 -1.34157e-12
28.7941 1.11802e-06 -1.04723e-12 -9.52215e-07 5.43944e-13 2.07023e-06 -1.59117e-12
29.2109 1.19147e-06 -1.12756e-12 -8.61859e-07 6.73025e-13 2.05332e-06 -1.80059e-12
29.6276 1.24183e-06 -1.18245e-12 -7.84607e-07 7.83072e-13 2.02644e-06 -1.96552e-12
30.0444 1.26869e-06 -1.21083e-12 -7.21603e-07 8.71816e-13 1.99029e-06 -2.08265e-12
30.4612 1.27211e-06 -1.21235e-12 -6.73676e-07 9.37443e-13 1.94578e-06 -2.1498e-12
30.878 1.25266e-06 -1.18723e-12 -6.41333e-07 9.78642e-13 1.89399e-06 -2.16587e-12
31.2947 1.21137e-06 -1.13623e-12 -6.24766e-07 9.94652e-13 1.83613e-06 -2.13088e-12
31.7115 1.14968e-06 -1.06077e-12 -6.2386e-07 9.85215e-13 1.77354e-06 -2.04598e-12
32.1283 1.06945e-06 -9.62749e-13 -6.38205e-07 9.50566e-13 1.70765e-06 -1.91331e-12
32.5451 9.72834e-07 -8.44522e-13 -6.67118e-07 8.91537e-13 1.63995e-06 -1.73606e-12
32.9618 8.62304e-07 -7.08905e-13 -7.09665e-07 8.0935e-13 1.57197e-06 -1.51825e-12
33.3786 7.40537e-07 -5.59042e-13 -7.64692e-07 7.05751e-13 1.50523e-06 -1.26479e-12
33.7954 6.10376e-07 -3.98352e-13 -8.30852e-07 5.82841e-13 1.44123e-06 -9.81193e-13
34.2122 4.74759e-07 -2.30442e-13 -9.06644e-07 4.43115e-13 1.3814e-06 -6.73557e-13
34.6289 3.36655e-07 -5.90193e-14 -9.90441e-07 2.89336e-13 1.3271e-06 -3.48355e-13
35.0457 1.99002e-07 1.12211e-13 -1.08053e-06 1.24623e-13 1.27953e-06 -1.2412e-14
