# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
3.42512 -8.20127e-13 -5.69158e-13 -7.41869e-13 -1.34465e-12 -1.70447e-12 -1.22296e-12 -5.55551e-13 -7.14016e-13 -1.45203e-12 -2.01905e-12 -3.71809e-13 -4.77699e-13 -1.26171e-12 -1.9906e-12 -1.54901e-19 -8.33923e-20 -7.75495e-13 -1.67753e-12 7.75495e-13 8.8434e-13 3.0952e-20 -8.8434e-13 -3.41518e-13 -1.90322e-13 -2.36317e-13 -1.83637e-19 -1.8419e-19 3.71809e-13 4.77699e-13 1.26171e-12 1.67753e-12 -4.39414e-20 1.90322e-13 2.36317e-13 5.55552e-13 7.14017e-13 1.45203e-12 1.9906e-12 3.41518e-13 5.69158e-13 7.41869e-13 1.34465e-12 2.01905e-12 8.20127e-13 1.22296e-12 1.70447e-12
3.89393 -8.34522e-13 -5.8197e-13 -7.65298e-13 -1.38721e-12 -1.75946e-12 -1.25412e-12 -5.78022e-13 -7.44537e-13 -1.51846e-12 -2.10242e-12 -3.86868e-13 -4.99191e-13 -1.31951e-12 -2.0834e-12 -1.54313e-19 -7.22159e-20 -8.05237e-13 -1.74917e-12 8.05238e-13 9.24942e-13 4.29568e-20 -9.24942e-13 -3.5325e-13 -1.98945e-13 -2.45346e-13 -1.9079e-19 -1.91317e-19 3.86868e-13 4.99191e-13 1.31951e-12 1.74917e-12 -3.97399e-20 1.98945e-13 2.45346e-13 5.78023e-13 7.44538e-13 1.51846e-12 2.0834e-12 3.53251e-13 5.8197e-13 7.65298e-13 1.38721e-12 2.10242e-12 8.34522e-13 1.25412e-12 1.75946e-12
4.36275 -8.1998e-13 -5.75599e-13 -7.65375e-13 -1.38713e-12 -1.7605e-12 -1.24444e-12 -5.84157e-13 -7.54677e-13 -1.54439e-12 -2.12668e-12 -3.91179e-13 -5.0735e-13 -1.34194e-12 -2.12084e-12 -1.46154e-19 -5.44154e-20 -8.11534e-13 -1.77202e-12 8.11534e-13 9.40518e-13 5.70764e-20 -9.40518e-13 -3.54659e-13 -2.02449e-13 -2.47327e-13 -1.92807e-19 -1.92805e-19 3.91178e-13 5.0735e-13 1.34194e-12 1.77202e-12 -3.2623e-20 2.02449e-13 2.47327e-13 5.84158e-13 7.54677e-13 1.54439e-12 2.12084e-12 3.5466e-13 5.75599e-13 7.65374e-13 1.38713e-12 2.12668e-12 8.1998e-13 1.24444e-12 1.7605e-12
4.83156 -7.77382e-13 -5.50662e-13 -7.42631e-13 -1.34521e-12 -1.70841e-12 -1.19482e-12 -5.74123e-13 -7.44701e-13 -1.53016e-12 -2.09228e-12 -3.84952e-13 -5.02333e-13 -1.32915e-12 -2.10312e-12 -1.3002e-19 -3.0108e-20 -7.94544e-13 -1.74621e-12 7.94544e-13 9.31031e-13 7.31992e-20 -9.31031e-13 -3.46067e-13 -2.01005e-13 -2.42368e-13 -1.89885e-19 -1.88677e-19 3.84952e-13 5.02332e-13 1.32915e-12 1.74621e-12 -2.27424e-20 2.01005e-13 2.42368e-13 5.74123e-13 7.44701e-13 1.53016e-12 2.10312e-12 3.46068e-13 5.50662e-13 7.4263e-13 1.34521e-12 2.09228e-12 7.77382e-13 1.19482e-12 1.70841e-12
5.30038 -7.0861e-13 -5.08443e-13 -6.98366e-13 -1.26358e-12 -1.60579e-12 -1.10752e-12 -5.48586e-13 -7.15504e-13 -1.47731e-12 -2.00149e-12 -3.68739e-13 -4.84701e-13 -1.28235e-12 -2.03211e-12 -1.05781e-19 1.9526e-22 -7.55133e-13 -1.67333e-12 7.55133e-13 8.97178e-13 9.09643e-20 -8.97178e-13 -3.28153e-13 -1.94958e-13 -2.30803e-13 -1.82368e-19 -1.79115e-19 3.68739e-13 4.84701e-13 1.28235e-12 1.67333e-12 -1.03021e-20 1.94958e-13 2.30803e-13 5.48587e-13 7.15504e-13 1.47731e-12 2.03211e-12 3.28153e-13 5.08443e-13 6.98366e-13 1.26358e-12 2.00149e-12 7.0861e-13 1.10752e-12 1.60579e-12
5.7692 -6.16458e-13 -4.5083e-13 -6.34588e-13 -1.14566e-12 -1.45681e-12 -9.86047e-13 -5.08684e-13 -6.6856e-13 -1.38853e-12 -1.85825e-12 -3.434e-13 -4.55389e-13 -1.20371e-12 -1.9112e-12 -7.3488e-20 3.59125e-20 -6.94832e-13 -1.55634e-12 6.94832e-13 8.40349e-13 1.09976e-19 -8.40349e-13 -3.01918e-13 -1.84815e-13 -2.13171e-13 -1.70834e-19 -1.64488e-19 3.434e-13 4.55389e-13 1.20371e-12 1.55634e-12 4.41752e-21 1.84815e-13 2.13171e-13 5.08685e-13 6.6856e-13 1.38853e-12 1.9112e-12 3.01918e-13 4.5083e-13 6.34588e-13 1.14566e-12 1.85825e-12 6.16458e-13 9.86046e-13 1.45681e-12
6.23801 -5.04516e-13 -3.80236e-13 -5.5392e-13 -9.9601e-13 -1.2671e-12 -8.35026e-13 -4.55969e-13 -6.05855e-13 -1.26755e-12 -1.66806e-12 -3.10065e-13 -4.15662e-13 -1.09633e-12 -1.74522e-12 -3.33634e-20 7.61401e-20 -6.15775e-13 -1.39942e-12 6.15775e-13 7.62582e-13 1.2966e-19 -7.62582e-13 -2.68642e-13 -1.71221e-13 -1.90193e-13 -1.55938e-19 -1.45221e-19 3.10065e-13 4.15662e-13 1.09633e-12 1.39942e-12 2.08697e-20 1.71221e-13 1.90192e-13 4.5597e-13 6.05855e-13 1.26755e-12 1.74522e-12 2.68643e-13 3.80236e-13 5.5392e-13 9.9601e-13 1.66806e-12 5.04516e-13 8.35025e-13 1.2671e-12
6.70683 -3.77012e-13 -2.99491e-13 -4.59494e-13 -8.20099e-13 -1.0435e-12 -6.60007e-13 -3.92352e-13 -5.29804e-13 -1.11897e-12 -1.43769e-12 -2.70082e-13 -3.6706e-13 -9.64037e-13 -1.54019e-12 1.4114e-20 1.19785e-19 -5.20608e-13 -1.20786e-12 5.20609e-13 6.66486e-13 1.49244e-19 -6.66486e-13 -2.2983e-13 -1.54929e-13 -1.62744e-13 -1.38423e-19 -1.21994e-19 2.70082e-13 3.6706e-13 9.64037e-13 1.20786e-12 3.85246e-20 1.54929e-13 1.62744e-13 3.92352e-13 5.29804e-13 1.11897e-12 1.54019e-12 2.2983e-13 2.99491e-13 4.59493e-13 8.20099e-13 1.43769e-12 3.77012e-13 6.60007e-13 1.0435e-12
7.17564 -2.38647e-13 -2.11731e-13 -3.54824e-13 -6.24132e-13 -7.938e-13 -4.67249e-13 -3.20026e-13 -4.43156e-13 -9.481e-13 -1.17501e-12 -2.24965e-13 -3.11338e-13 -8.11326e-13 -1.30315e-12 6.82713e-20 1.65698e-19 -4.12401e-13 -9.87861e-13 4.12401e-13 5.55154e-13 1.67921e-19 -5.55154e-13 -1.87148e-13 -1.36774e-13 -1.31818e-13 -1.19192e-19 -9.54716e-20 2.24965e-13 3.11338e-13 8.11326e-13 9.87861e-13 5.67233e-20 1.36774e-13 1.31818e-13 3.20026e-13 4.43156e-13 9.481e-13 1.30315e-12 1.87148e-13 2.1173e-13 3.54824e-13 6.24131e-13 1.17501e-12 2.38647e-13 4.67248e-13 7.938e-13
7.64446 -9.44061e-14 -1.2027e-13 -2.43674e-13 -4.14798e-13 -5.26465e-13 -2.63483e-13 -2.4139e-13 -3.48889e-13 -7.60778e-13 -8.88647e-13 -1.76327e-13 -2.50398e-13 -6.43144e-13 -1.04189e-12 1.28354e-19 2.12465e-19 -2.94529e-13 -7.46287e-13 2.94529e-13 4.32059e-13 1.84649e-19 -4.32059e-13 -1.4236e-13 -1.17634e-13 -9.84915e-14 -9.90894e-20 -6.63525e-20 1.76327e-13 2.50398e-13 6.43144e-13 7.46287e-13 7.47953e-20 1.17634e-13 9.84914e-14 2.4139e-13 3.48889e-13 7.60778e-13 1.04189e-12 1.4236e-13 1.2027e-13 2.43674e-13 4.14798e-13 8.88647e-13 9.44057e-14 2.63482e-13 5.26465e-13
