# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
3.42512 -8.47059e-13 6.54876e-13 -7.32349e-13 -5.84026e-13 1.11749e-12 0 1.23401e-13 -6.85914e-13 -5.25711e-13 0 1.87428e-14 -4.09124e-13 -4.22063e-13 0 -1.98166e-14 -3.0712e-20 -1.84863e-13 0 1.84863e-13 -8.42967e-13 8.42967e-13 0 -1.85943e-12 8.16058e-13 -4.96557e-13 2.48278e-13 -3.48541e-14 2.45646e-13 8.5788e-13 4.22064e-13 0 -1.65214e-12 9.39729e-13 -1.03584e-13 4.37689e-13 8.77905e-13 5.25711e-13 0 -1.17031e-12 9.14601e-13 4.46104e-13 5.84026e-13 0 -2.74523e-13 -1.11749e-12 0
3.89393 -8.63364e-13 6.76483e-13 -7.62905e-13 -6.08684e-13 1.17261e-12 0 1.44541e-13 -7.24793e-13 -5.50048e-13 0 3.06225e-14 -4.21007e-13 -4.47479e-13 0 -2.30264e-14 -9.65195e-21 -1.9872e-13 0 1.98719e-13 -8.81114e-13 8.81115e-13 0 -1.93055e-12 8.46618e-13 -5.18532e-13 2.59266e-13 -7.20582e-14 2.70079e-13 8.88066e-13 4.47479e-13 0 -1.72541e-12 9.81362e-13 -1.21515e-13 4.65001e-13 9.20243e-13 5.50048e-13 0 -1.19829e-12 9.31775e-13 4.2824e-13 6.08684e-13 0 -2.91495e-13 -1.17261e-12 0
4.36275 -8.49921e-13 6.77137e-13 -7.72394e-13 -6.16668e-13 1.19765e-12 0 1.66742e-13 -7.47033e-13 -5.59603e-13 0 4.46433e-14 -4.1943e-13 -4.62538e-13 0 -2.66482e-14 1.87695e-20 -2.08792e-13 0 2.08791e-13 -8.9584e-13 8.9584e-13 0 -1.94594e-12 8.52184e-13 -5.25825e-13 2.62912e-13 -1.17928e-13 2.91553e-13 8.92157e-13 4.62538e-13 0 -1.75181e-12 9.96691e-13 -1.40094e-13 4.81792e-13 9.39601e-13 5.59603e-13 0 -1.1859e-12 9.16636e-13 3.87813e-13 6.16668e-13 0 -3.01808e-13 -1.19765e-12 0
4.83156 -8.07445e-13 6.56943e-13 -7.61125e-13 -6.08254e-13 1.19278e-12 0 1.89802e-13 -7.5285e-13 -5.54361e-13 0 6.03409e-14 -4.04517e-13 -4.67039e-13 0 -3.08457e-14 5.42091e-20 -2.14937e-13 0 2.14936e-13 -8.87463e-13 8.87464e-13 0 -1.90634e-12 8.32884e-13 -5.18142e-13 2.59071e-13 -1.71586e-13 3.09974e-13 8.70725e-13 4.67039e-13 0 -1.7317e-12 9.86136e-13 -1.58956e-13 4.87791e-13 9.36656e-13 5.54361e-13 0 -1.13357e-12 8.69945e-13 3.26021e-13 6.08254e-13 0 -3.05317e-13 -1.19278e-12 0
5.30038 -7.37641e-13 6.16637e-13 -7.30055e-13 -5.84243e-13 1.1591e-12 0 2.13432e-13 -7.42966e-13 -5.3473e-13 0 7.71035e-14 -3.76788e-13 -4.61044e-13 0 -3.58087e-14 9.60185e-20 -2.171e-13 0 2.17099e-13 -8.57045e-13 8.57045e-13 0 -1.81425e-12 7.89606e-13 -4.95533e-13 2.47766e-13 -2.31746e-13 3.25305e-13 8.25193e-13 4.61045e-13 0 -1.66688e-12 9.5096e-13 -1.77624e-13 4.82971e-13 9.12862e-13 5.3473e-13 0 -1.04305e-12 7.93557e-13 2.44926e-13 5.84243e-13 0 -3.02056e-13 -1.1591e-12 0
5.7692 -6.43122e-13 5.57556e-13 -6.80739e-13 -5.45915e-13 1.09858e-12 0 2.37262e-13 -7.18561e-13 -5.01514e-13 0 9.41986e-14 -3.3713e-13 -4.44873e-13 0 -4.17494e-14 1.43434e-19 -2.15317e-13 0 2.15317e-13 -8.06332e-13 8.06332e-13 0 -1.67381e-12 7.23959e-13 -4.5837e-13 2.29185e-13 -2.96775e-13 3.37562e-13 7.57759e-13 4.44874e-13 0 -1.56053e-12 8.93215e-13 -1.95512e-13 4.6755e-13 8.70375e-13 5.01514e-13 0 -9.17295e-13 6.90338e-13 1.47367e-13 5.45916e-13 0 -2.92249e-13 -1.09858e-12 0
6.23801 -5.27291e-13 4.81576e-13 -6.15255e-13 -4.9498e-13 1.01398e-12 0 2.60846e-13 -6.81217e-13 -4.5588e-13 0 1.10806e-13 -2.86754e-13 -4.19092e-13 0 -4.88966e-14 1.95017e-19 -2.09716e-13 0 2.09716e-13 -7.37682e-13 7.37682e-13 0 -1.49065e-12 6.3821e-13 -4.07321e-13 2.0366e-13 -3.64766e-13 3.46813e-13 6.71301e-13 4.19093e-13 0 -1.41708e-12 8.15657e-13 -2.1195e-13 4.41971e-13 8.11961e-13 4.5588e-13 0 -7.60355e-13 5.64043e-13 3.68256e-14 4.9498e-13 0 -2.76301e-13 -1.01398e-12 0
6.70683 -3.94199e-13 3.91047e-13 -5.36116e-13 -4.33494e-13 9.08773e-13 0 2.83682e-13 -6.32851e-13 -3.99312e-13 0 1.26058e-13 -2.27138e-13 -3.84495e-13 0 -5.74884e-14 2.49148e-19 -2.00516e-13 0 2.00515e-13 -6.53973e-13 6.53973e-13 0 -1.27165e-12 5.352e-13 -3.43316e-13 1.71658e-13 -4.33631e-13 3.53172e-13 5.69252e-13 3.84496e-13 0 -1.24202e-12 7.21638e-13 -2.26194e-13 4.06894e-13 7.40873e-13 3.99312e-13 0 -5.7724e-13 4.19172e-13 -8.27262e-14 4.33494e-13 0 -2.548e-13 -9.08774e-13 0
7.17564 -2.48383e-13 2.88708e-13 -4.4617e-13 -3.63787e-13 7.86989e-13 0 3.05224e-13 -5.75634e-13 -3.33556e-13 0 1.3908e-13 -1.59969e-13 -3.4208e-13 0 -6.77632e-14 3.04044e-19 -1.88022e-13 0 1.88022e-13 -5.58491e-13 5.58491e-13 0 -1.0247e-12 4.18244e-13 -2.67509e-13 1.33755e-13 -5.01196e-13 3.5679e-13 4.55465e-13 3.4208e-13 0 -1.04175e-12 6.1498e-13 -2.3746e-13 3.63175e-13 6.60724e-13 3.33556e-13 0 -3.73732e-13 2.6079e-13 -2.06998e-13 3.63787e-13 0 -2.28498e-13 -7.8699e-13 0
7.64446 -9.46856e-14 1.77585e-13 -3.48489e-13 -2.88367e-13 6.53106e-13 0 3.24906e-13 -5.11909e-13 -2.6056e-13 0 1.49034e-13 -8.70814e-14 -2.9302e-13 0 -7.99487e-14 3.57525e-19 -1.72624e-13 0 1.72624e-13 -4.54806e-13 4.54806e-13 0 -7.58388e-13 2.91016e-13 -1.81247e-13 9.06236e-14 -5.65304e-13 3.57858e-13 3.34061e-13 2.9302e-13 0 -8.23308e-13 4.99832e-13 -2.44957e-13 3.11844e-13 5.75336e-13 2.60561e-13 0 -1.56183e-13 9.43417e-14 -3.31566e-13 2.88368e-13 0 -1.98299e-13 -6.53107e-13 0
8.11327 6.19237e-14 6.08967e-14 -2.46266e-13 -2.09832e-13 5.11882e-13 0 3.4217e-13 -4.44107e-13 -1.8241e-13 0 1.55167e-13 -1.03895e-14 -2.38633e-13 0 -9.425e-14 4.07435e-19 -1.54784e-13 0 1.54784e-13 -3.46646e-13 3.46647e-13 0 -4.81725e-13 1.57422e-13 -8.6026e-14 4.30129e-14 -6.23916e-13 3.56595e-13 2.0928e-13 2.38633e-13 0 -5.94172e-13 3.80526e-13 -2.4792e-13 2.54083e-13 4.88605e-13 1.82411e-13 0 6.87081e-14 -7.45568e-14 -4.52056e-13 2.09832e-13 0 -1.65235e-13 -5.11883e-13 0
8.58209 2.16532e-13 -5.80544e-14 -1.42701e-13 -1.30775e-13 3.68205e-13 0 3.56487e-13 -3.74664e-13 -1.01265e-13 0 1.56843e-13 6.81726e-14 -1.80346e-13 0 -1.10837e-13 4.51515e-19 -1.35029e-13 0 1.35029e-13 -2.37765e-13 2.37766e-13 0 -2.03818e-13 2.14786e-14 1.65398e-14 -8.26995e-15 -6.75203e-13 3.53246e-13 8.5329e-14 1.80346e-13 0 -3.61981e-13 2.61421e-13 -2.45651e-13 1.91202e-13 4.04351e-13 1.01266e-13 0 2.9412e-13 -2.40318e-13 -5.64326e-13 1.30776e-13 0 -1.3044e-13 -3.68206e-13 0
9.0509 3.64456e-13 -1.75986e-13 -4.09074e-14 -5.37058e-14 2.26933e-13 0 3.67394e-13 -3.05947e-13 -1.92938e-14 0 1.5359e-13 1.46709e-13 -1.19659e-13 0 -1.29829e-13 4.87508e-19 -1.13936e-13 0 1.13936e-13 -1.31817e-13 1.31818e-13 0 6.64313e-14 -1.12824e-13 1.24748e-13 -6.23741e-14 -7.17634e-13 3.48079e-13 -3.37579e-14 1.19659e-13 0 -1.34301e-13 1.46759e-13 -2.37564e-13 1.24611e-13 3.26189e-13 1.92939e-14 0 5.13338e-13 -3.97582e-13 -6.64632e-13 5.37062e-14 0 -9.5115e-14 -2.26933e-13 0
9.51972 5.01396e-13 -2.89733e-13 5.61853e-14 1.90353e-14 9.2737e-14 0 3.74514e-13 -2.40186e-13 6.13874e-14 0 1.45122e-13 2.23414e-13 -5.81085e-14 0 -1.51288e-13 5.13335e-19 -9.21217e-14 0 9.21216e-14 -3.22369e-14 3.22373e-14 0 3.20614e-13 -2.4164e-13 2.36837e-13 -1.18418e-13 -7.50045e-13 3.41383e-13 -1.44249e-13 5.81083e-14 0 8.16205e-14 4.0523e-14 -2.23226e-13 5.57986e-14 2.57407e-13 -6.13872e-14 0 7.19979e-13 -5.41402e-13 -7.49773e-13 -1.90348e-14 0 -6.05e-14 -9.27377e-14 0
9.98853 6.23572e-13 -3.96343e-13 1.45905e-13 8.53397e-14 -3.00362e-14 0 3.77592e-13 -1.79415e-13 1.38768e-13 0 1.31363e-13 2.96613e-13 2.77176e-15 0 -1.75198e-13 5.27195e-19 -7.02231e-14 0 7.02231e-14 5.78672e-14 -5.78669e-14 0 5.51071e-13 -3.61387e-13 3.51006e-13 -1.75503e-13 -7.71691e-13 3.33463e-13 -2.42827e-13 -2.77201e-15 0 2.79077e-13 -5.36859e-14 -2.02394e-13 -1.36963e-14 2.00868e-13 -1.38768e-13 0 9.08189e-13 -6.67408e-13 -8.17211e-13 -8.53392e-14 0 -2.7831e-14 3.00356e-14 0
10.4573 7.27838e-13 -4.93155e-13 2.25903e-13 1.43388e-13 -1.37499e-13 0 3.76514e-13 -1.25425e-13 2.10995e-13 0 1.12463e-13 3.64802e-13 6.14838e-14 0 -2.01463e-13 5.27548e-19 -4.88836e-14 0 4.88836e-14 1.35803e-13 -1.35803e-13 0 7.51122e-13 -4.68852e-13 4.65437e-13 -2.32719e-13 -7.82286e-13 3.24641e-13 -3.26676e-13 -6.14841e-14 0 4.52099e-13 -1.32758e-13 -1.75051e-13 -8.23107e-14 1.58927e-13 -2.10995e-13 0 1.07283e-12 -7.71946e-13 -8.65165e-13 -1.43388e-13 0 1.69593e-15 1.37499e-13 0
10.9262 8.11759e-13 -5.77869e-13 2.94202e-13 1.91692e-13 -2.26333e-13 0 3.71328e-13 -7.97344e-14 2.76412e-13 0 8.87993e-14 4.2667e-13 1.16601e-13 0 -2.29892e-13 5.13314e-19 -2.87346e-14 0 2.87345e-14 1.9937e-13 -1.9937e-13 0 9.1525e-13 -5.61276e-13 5.78314e-13 -2.89157e-13 -7.82009e-13 3.15254e-13 -3.93552e-13 -1.16602e-13 0 5.95627e-13 -1.94162e-13 -1.41435e-13 -1.48484e-13 1.33371e-13 -2.76412e-13 0 1.20963e-12 -8.52186e-13 -8.92661e-13 -1.91692e-13 0 2.69632e-14 2.26333e-13 0
