# t  B_z_sc_0  B_z_sc_1  B_z_sc_2  B_z_sc_3  B_z_sc_4  B_z_sc_5  B_z_sc_6  B_z_sc_7  B_z_sc_8  B_z_sc_9  B_z_sc_10  B_z_sc_11  B_z_sc_12  B_z_sc_13  B_z_sc_14  B_z_sc_15  B_z_sc_16  B_z_sc_17  B_z_sc_18  B_z_sc_19  B_z_sc_20  B_z_sc_21  B_z_sc_22  B_z_sc_23  B_z_sc_24  B_z_sc_25  B_z_sc_26  B_z_sc_27  B_z_sc_28  B_z_sc_29  B_z_sc_30  B_z_sc_31  B_z_sc_32  B_z_sc_33  B_z_sc_34  B_z_sc_35  B_z_sc_36  B_z_sc_37  B_z_sc_38  B_z_sc_39  B_z_sc_40  B_z_sc_41  B_z_sc_42  B_z_sc_43  B_z_sc_44  B_z_sc_45
18.3636 -3.73971e-13 -4.00982e-13 -4.25061e-13 -4.67896e-13 -6.74227e-13 -5.68655e-13 -1.88408e-13 -2.59292e-13 -6.89835e-13 -6.95996e-13 -1.13354e-13 -1.70286e-13 -3.84826e-13 -7.4291e-13 3.69879e-19 4.2619e-20 -6.69131e-14 -3.14585e-13 6.6913e-14 3.00256e-13 -4.40033e-19 -3.00256e-13 -3.8141e-13 -3.05008e-13 -8.90051e-14 -2.82793e-19 -2.60436e-20 1.13353e-13 1.70286e-13 3.84826e-13 3.14585e-13 -2.08168e-19 3.05008e-13 8.90048e-14 1.88408e-13 2.59291e-13 6.89835e-13 7.42909e-13 3.8141e-13 4.00983e-13 4.25061e-13 4.67896e-13 6.95995e-13 3.73972e-13 5.68656e-13 6.74228e-13
21.3375 -4.31649e-13 -4.5476e-13 -6.41132e-13 -9.47269e-13 -1.28147e-12 -8.20918e-13 -4.38294e-13 -6.07681e-13 -1.47713e-12 -1.73397e-12 -2.59226e-13 -4.49865e-13 -1.13497e-12 -1.88978e-12 -1.88976e-19 2.19591e-19 -4.92508e-13 -1.29479e-12 4.92508e-13 8.49824e-13 2.74246e-20 -8.49824e-13 -4.39185e-13 -3.42159e-13 -1.57816e-13 -3.14869e-19 -3.04488e-19 2.59226e-13 4.49864e-13 1.13497e-12 1.29479e-12 -1.20626e-19 3.42159e-13 1.57816e-13 4.38295e-13 6.07681e-13 1.47713e-12 1.88978e-12 4.39185e-13 4.5476e-13 6.41132e-13 9.47269e-13 1.73397e-12 4.31648e-13 8.20918e-13 1.28147e-12
24.3113 -2.95799e-14 -1.90571e-13 -4.0996e-13 -6.37971e-13 -8.07518e-13 -3.04068e-13 -3.40822e-13 -5.91063e-13 -1.43878e-12 -1.54191e-12 -2.67128e-13 -4.89995e-13 -1.15663e-12 -1.88969e-12 -3.12078e-19 7.05392e-19 -4.47399e-13 -1.2323e-12 4.474e-13 7.77939e-13 6.92282e-19 -7.77938e-13 -3.09603e-13 -2.82147e-13 -1.01068e-13 -2.81773e-19 -5.51687e-19 2.67127e-13 4.89995e-13 1.15663e-12 1.2323e-12 1.86772e-19 2.82147e-13 1.01068e-13 3.40822e-13 5.91063e-13 1.43878e-12 1.88969e-12 3.09603e-13 1.9057e-13 4.09958e-13 6.37969e-13 1.54191e-12 2.95779e-14 3.04066e-13 8.07518e-13
26.7212 2.79873e-13 1.6609e-14 -1.20685e-13 -1.13463e-13 -7.42621e-14 2.16536e-13 -1.20766e-13 -3.75753e-13 -9.33025e-13 -7.42076e-13 -2.00526e-13 -3.45706e-13 -6.98902e-13 -1.1775e-12 1.18874e-19 1.00472e-18 -1.30072e-13 -5.42475e-13 1.30073e-13 3.54137e-13 8.19475e-19 -3.54136e-13 -1.996e-13 -2.34121e-13 -3.00478e-14 -3.1302e-19 -6.57593e-19 2.00526e-13 3.45706e-13 6.98903e-13 5.42475e-13 4.27625e-19 2.34122e-13 3.00474e-14 1.20765e-13 3.75752e-13 9.33024e-13 1.1775e-12 1.996e-13 -1.66109e-14 1.20682e-13 1.13462e-13 7.42077e-13 -2.79876e-13 -2.16538e-13 7.4262e-14
29.2471 3.46721e-13 5.02141e-14 1.99668e-14 2.82556e-13 4.48221e-13 4.43343e-13 4.04225e-14 -1.49598e-13 -3.80091e-13 7.18589e-14 -1.20493e-13 -1.46754e-13 -1.37209e-13 -3.24885e-13 8.97325e-19 9.5375e-19 2.32342e-13 2.60845e-13 -2.32341e-13 -1.015e-13 3.1687e-19 1.015e-13 -1.88986e-13 -2.42881e-13 -2.84387e-15 -4.87662e-19 -6.68342e-19 1.20492e-13 1.46755e-13 1.37209e-13 -2.60844e-13 4.53955e-19 2.42882e-13 2.84316e-15 -4.04246e-14 1.49596e-13 3.8009e-13 3.24884e-13 1.88985e-13 -5.02156e-14 -1.99689e-14 -2.82557e-13 -7.18587e-14 -3.46722e-13 -4.43344e-13 -4.48221e-13
31.773 1.60022e-13 -1.01164e-13 -8.79891e-14 2.93903e-13 4.19219e-13 2.55453e-13 2.7751e-14 -7.60752e-14 -1.84152e-13 3.36464e-13 -7.61256e-14 -4.45279e-14 1.25174e-13 7.09162e-14 1.53046e-18 5.31795e-19 3.95068e-13 6.25833e-13 -3.95068e-13 -2.59197e-13 -5.28579e-19 2.59196e-13 -2.89369e-13 -3.09326e-13 -3.15466e-14 -7.75377e-19 -6.36432e-19 7.6125e-14 4.45295e-14 -1.25174e-13 -6.25833e-13 1.56614e-19 3.09326e-13 3.15457e-14 -2.77536e-14 7.60724e-14 1.84151e-13 -7.09165e-14 2.89369e-13 1.01164e-13 8.79884e-14 -2.93904e-13 -3.36465e-13 -1.60021e-13 -2.55452e-13 -4.19218e-13
34.2989 -8.90648e-14 -2.90314e-13 -3.10842e-13 -1.26772e-14 -4.97872e-14 -1.28663e-13 -9.18686e-14 -1.67098e-13 -4.34941e-13 -4.95833e-14 -7.76892e-14 -1.04454e-13 -5.75557e-14 -2.04667e-13 1.53878e-18 3.25331e-20 2.77637e-13 3.60913e-13 -2.77638e-13 -3.9278e-14 -1.07896e-18 3.92766e-14 -4.10495e-13 -3.77383e-13 -6.26427e-14 -9.97661e-19 -6.44192e-19 7.76885e-14 1.04455e-13 5.7556e-14 -3.60912e-13 -3.06731e-19 3.77383e-13 6.2642e-14 9.18663e-14 1.67095e-13 4.34939e-13 2.04666e-13 4.10494e-13 2.90315e-13 3.10843e-13 1.26774e-14 4.95813e-14 8.90663e-14 1.28665e-13 4.97888e-14
36.8248 -2.02575e-13 -3.62694e-13 -4.4314e-13 -3.72475e-13 -5.73852e-13 -3.9759e-13 -1.73563e-13 -3.13393e-13 -9.13783e-13 -7.54396e-13 -1.05088e-13 -2.70597e-13 -5.20741e-13 -9.18305e-13 8.19647e-19 -1.5229e-19 -9.78012e-15 -2.98784e-13 9.77947e-15 3.71276e-13 -8.66352e-19 -3.71277e-13 -4.5561e-13 -3.9304e-13 -4.27936e-14 -9.5063e-19 -7.24174e-19 1.05087e-13 2.70597e-13 5.20741e-13 2.98785e-13 -5.97108e-19 3.9304e-13 4.27934e-14 1.73562e-13 3.13391e-13 9.13781e-13 9.18304e-13 4.5561e-13 3.62695e-13 4.4314e-13 3.72476e-13 7.54395e-13 2.02576e-13 3.97592e-13 5.73853e-13
39.3507 -1.23843e-13 -2.85209e-13 -4.01594e-13 -5.44936e-13 -8.01987e-13 -3.87349e-13 -1.46826e-13 -3.98643e-13 -1.2969e-12 -1.29729e-12 -1.3291e-13 -4.21771e-13 -9.41368e-13 -1.59557e-12 -1.98009e-19 1.80716e-19 -2.59724e-13 -8.89244e-13 2.59724e-13 6.78143e-13 2.4776e-20 -6.78144e-13 -4.0804e-13 -3.55532e-13 2.31294e-14 -6.09663e-19 -8.33423e-19 1.32908e-13 4.2177e-13 9.41368e-13 8.89244e-13 -4.57127e-19 3.55533e-13 -2.31291e-14 1.46826e-13 3.98643e-13 1.2969e-12 1.59557e-12 4.0804e-13 2.85209e-13 4.01593e-13 5.44936e-13 1.29729e-12 1.23842e-13 3.87348e-13 8.01988e-13
41.8766 4.73349e-14 -1.54634e-13 -2.73471e-13 -4.68296e-13 -6.47384e-13 -1.6688e-13 -6.60092e-14 -3.91216e-13 -1.38435e-12 -1.37646e-12 -1.52405e-13 -4.66957e-13 -1.07203e-12 -1.84524e-12 -7.8782e-19 8.77456e-19 -3.13659e-13 -1.04268e-12 3.1366e-13 6.94719e-13 9.93017e-19 -6.94719e-13 -3.33776e-13 -3.12321e-13 7.57428e-14 -2.24297e-19 -9.10259e-19 1.52403e-13 4.66956e-13 1.07203e-12 1.04268e-12 5.73746e-20 3.12322e-13 -7.57425e-14 6.60098e-14 3.91216e-13 1.38435e-12 1.84524e-12 3.33776e-13 1.54632e-13 2.73469e-13 4.68295e-13 1.37646e-12 -4.73382e-14 1.66876e-13 6.47384e-13
