# t  B_z_curl_0  B_z_curl_1  B_z_curl_2  B_z_curl_3  B_z_curl_4  B_z_curl_5  B_z_curl_6  B_z_curl_7  B_z_curl_8  B_z_curl_9  B_z_curl_10  B_z_curl_11  B_z_curl_12  B_z_curl_13  B_z_curl_14  B_z_curl_15  B_z_curl_16  B_z_curl_17  B_z_curl_18  B_z_curl_19  B_z_curl_20  B_z_curl_21  B_z_curl_22  B_z_curl_23  B_z_curl_24  B_z_curl_25  B_z_curl_26  B_z_curl_27  B_z_curl_28  B_z_curl_29  B_z_curl_30  B_z_curl_31  B_z_curl_32  B_z_curl_33  B_z_curl_34  B_z_curl_35  B_z_curl_36  B_z_curl_37  B_z_curl_38  B_z_curl_39  B_z_curl_40  B_z_curl_41  B_z_curl_42  B_z_curl_43  B_z_curl_44  B_z_curl_45
18.3636 -2.80106e-14 -9.33874e-14 -3.16006e-13 -3.1168e-13 9.21005e-13 0 3.12095e-13 -6.3026e-13 4.28012e-14 0 -1.50354e-13 2.91181e-13 -2.37241e-14 0 -5.56288e-13 -5.70936e-19 -1.25655e-13 0 1.25655e-13 -5.4983e-13 5.49829e-13 0 -9.72446e-13 1.19762e-13 1.01093e-12 -5.05465e-13 -5.74553e-13 3.69794e-13 5.30217e-13 2.37243e-14 0 -1.1055e-12 9.1921e-13 2.44194e-13 -5.66325e-14 1.39619e-12 -4.28016e-14 0 -5.5149e-14 3.34561e-13 -1.23107e-13 3.1168e-13 0 -3.71174e-13 -9.21004e-13 0
21.3375 -2.35601e-13 2.69983e-13 -7.25234e-13 -5.941e-13 1.39305e-12 0 6.51379e-13 -1.04494e-12 -3.09949e-13 0 1.36817e-13 -1.67259e-14 -3.81001e-13 0 -4.08142e-13 -1.64045e-20 -2.83833e-13 0 2.83833e-13 -8.29447e-13 8.29447e-13 0 -1.67147e-12 4.89637e-13 3.89587e-13 -1.94794e-13 -1.06907e-12 6.00641e-13 8.49736e-13 3.81002e-13 0 -1.81358e-12 1.25289e-12 -2.43237e-13 4.19202e-13 1.68404e-12 3.09949e-13 0 -4.14274e-13 4.54557e-13 -4.47457e-13 5.941e-13 0 -5.63603e-13 -1.39305e-12 0
24.3113 3.29299e-14 1.91928e-13 -6.80956e-13 -5.83629e-13 1.22965e-12 0 9.45857e-13 -1.15006e-12 -3.88743e-13 0 3.63171e-13 -5.15643e-14 -5.0096e-13 0 -2.75462e-13 1.00974e-18 -3.39636e-13 0 3.39636e-13 -7.50939e-13 7.5094e-13 0 -1.29264e-12 3.52011e-13 2.39439e-14 -1.19722e-14 -1.5833e-12 8.44985e-13 6.54053e-13 5.00961e-13 0 -1.51708e-12 1.05285e-12 -6.70396e-13 5.48023e-13 1.46711e-12 3.88743e-13 0 7.51451e-14 -2.30804e-14 -9.55457e-13 5.83631e-13 0 -4.78704e-13 -1.22965e-12 0
26.7212 3.73051e-13 -1.28604e-13 -3.81419e-13 -4.06018e-13 8.88141e-13 0 9.31697e-13 -1.00001e-12 -2.2238e-13 0 3.17465e-13 1.69561e-13 -3.61557e-13 0 -3.33367e-13 1.34097e-18 -2.95115e-13 0 2.95115e-13 -6.02339e-13 6.02341e-13 0 -6.23978e-13 2.16303e-14 2.30728e-13 -1.15364e-13 -1.67899e-12 9.28689e-13 3.27616e-13 3.61557e-13 0 -9.02336e-13 7.41528e-13 -5.98331e-13 2.99945e-13 1.18669e-12 2.2238e-13 0 6.82113e-13 -4.42606e-13 -1.10212e-12 4.0602e-13 0 -2.85801e-13 -8.88146e-13 0
29.2471 6.05649e-13 -4.83782e-13 -9.40064e-14 -2.06161e-13 6.50981e-13 0 7.13993e-13 -7.82731e-13 4.98013e-14 0 7.76319e-14 4.72756e-13 -1.00008e-13 0 -5.41982e-13 7.25267e-19 -2.10914e-13 0 2.10914e-13 -5.22239e-13 5.22239e-13 0 -1.14401e-13 -2.85833e-13 8.01662e-13 -4.00831e-13 -1.39825e-12 8.42153e-13 1.38457e-13 1.00007e-13 0 -4.14022e-13 5.50045e-13 -1.72012e-13 -6.85215e-14 1.12414e-12 -4.98014e-14 0 1.07305e-12 -5.94021e-13 -9.30927e-13 2.06163e-13 0 -1.28744e-13 -6.50983e-13 0
31.773 6.00956e-13 -6.35e-13 -5.80756e-14 -1.31938e-13 6.7307e-13 0 5.21425e-13 -6.92575e-13 2.47899e-13 0 -1.66007e-13 6.22123e-13 9.77279e-14 0 -7.50234e-13 -5.24229e-19 -1.50983e-13 0 1.50983e-13 -5.39471e-13 5.39469e-13 0 -6.96952e-14 -3.91375e-13 1.3279e-12 -6.63952e-13 -9.72028e-13 6.40089e-13 2.56226e-13 -9.77289e-14 0 -3.7004e-13 6.11244e-13 2.2881e-13 -2.50515e-13 1.40901e-12 -2.47899e-13 0 1.03021e-12 -4.1426e-13 -6.54484e-13 1.31939e-13 0 -1.33602e-13 -6.73069e-13 0
34.2989 4.12572e-13 -4.98518e-13 -2.58965e-13 -2.20171e-13 8.83549e-13 0 5.4821e-13 -7.94576e-13 2.49819e-13 0 -2.1248e-13 5.33152e-13 1.02077e-13 0 -8.11876e-13 -1.45029e-18 -1.50616e-13 0 1.50616e-13 -5.84758e-13 5.84755e-13 0 -4.2061e-13 -2.76574e-13 1.47428e-12 -7.37142e-13 -8.11776e-13 4.99594e-13 5.57453e-13 -1.02078e-13 0 -7.16097e-13 8.44928e-13 2.63667e-13 -1.49481e-13 1.8267e-12 -2.49821e-13 0 6.65447e-13 -9.73764e-14 -5.432e-13 2.20171e-13 0 -2.98796e-13 -8.83547e-13 0
36.8248 2.00721e-13 -1.87468e-13 -4.95136e-13 -3.89194e-13 1.11987e-12 0 7.8631e-13 -9.97501e-13 5.8659e-14 0 -1.36957e-14 3.2844e-13 -8.18187e-14 0 -7.12572e-13 -1.24812e-18 -1.99377e-13 0 1.99377e-13 -6.06922e-13 6.06919e-13 0 -8.88675e-13 -4.58842e-14 1.22755e-12 -6.13775e-13 -1.16549e-12 5.79107e-13 7.68266e-13 8.18193e-14 0 -1.16963e-12 1.07504e-12 -7.37385e-14 8.50991e-14 2.02967e-12 -5.86607e-14 0 2.68113e-13 1.09169e-13 -6.78814e-13 3.89195e-13 0 -5.12951e-13 -1.11987e-12 0
39.3507 1.10999e-13 7.2837e-14 -6.00252e-13 -5.1915e-13 1.25684e-12 0 1.07072e-12 -1.15619e-12 -1.97959e-13 0 2.82541e-13 2.00232e-13 -3.28127e-13 0 -5.6054e-13 5.29193e-20 -2.55188e-13 0 2.55188e-13 -6.18611e-13 6.1861e-13 0 -1.19317e-12 1.46447e-13 8.52794e-13 -4.26398e-13 -1.84902e-12 8.57538e-13 7.20616e-13 3.28128e-13 0 -1.45351e-12 1.1769e-12 -5.10179e-13 2.49636e-13 1.88123e-12 1.97958e-13 0 1.1168e-13 7.94431e-14 -9.30026e-13 5.19153e-13 0 -6.38237e-13 -1.25685e-12 0
41.8766 1.80086e-13 1.10309e-13 -5.72251e-13 -5.42193e-13 1.25838e-12 0 1.23472e-12 -1.19652e-12 -3.48008e-13 0 4.46275e-13 2.34973e-13 -4.80918e-13 0 -4.82489e-13 1.56027e-18 -2.76092e-13 0 2.76092e-13 -6.49737e-13 6.49739e-13 0 -1.19552e-12 1.84147e-13 6.4511e-13 -3.22555e-13 -2.34264e-12 1.12752e-12 4.95033e-13 4.80918e-13 0 -1.46134e-12 1.14429e-12 -7.52232e-13 2.65603e-13 1.58808e-12 3.48007e-13 0 2.83724e-13 -1.27936e-13 -1.10391e-12 5.42196e-13 0 -6.08649e-13 -1.25839e-12 0
