# t  J_bond_sc_0  J_bond_sc_1  J_bond_sc_2  J_bond_sc_3  J_bond_sc_4  J_bond_sc_5  J_bond_sc_6  J_bond_sc_7  J_bond_sc_8  J_bond_sc_9  J_bond_sc_10  J_bond_sc_11  J_bond_sc_12  J_bond_sc_13  J_bond_sc_14  J_bond_sc_15  J_bond_sc_16  J_bond_sc_17  J_bond_sc_18  J_bond_sc_19  J_bond_sc_20  J_bond_sc_21  J_bond_sc_22  J_bond_sc_23  J_bond_sc_24  J_bond_sc_25  J_bond_sc_26  J_bond_sc_27  J_bond_sc_28  J_bond_sc_29  J_bond_sc_30  J_bond_sc_31  J_bond_sc_32  J_bond_sc_33  J_bond_sc_34  J_bond_sc_35  J_bond_sc_36  J_bond_sc_37  J_bond_sc_38  J_bond_sc_39  J_bond_sc_40  J_bond_sc_41  J_bond_sc_42  J_bond_sc_43  J_bond_sc_44  J_bond_sc_45  J_bond_sc_46  J_bond_sc_47  J_bond_sc_48  J_bond_sc_49  J_bond_sc_50  J_bond_sc_51  J_bond_sc_52  J_bond_sc_53  J_bond_sc_54  J_bond_sc_55  J_bond_sc_56  J_bond_sc_57  J_bond_sc_58  J_bond_sc_59
0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0 -0
0.01 1.04038e-10 1.11981e-10 1.95677e-10 -1.04795e-10 9.78383e-11 9.86446e-11 -1.04038e-10 2.0959e-10 -2.23962e-10 2.0241e-10 -1.01205e-10 9.94783e-11 1.01287e-10 -1.04974e-10 2.03457e-10 2.02574e-10 -9.84752e-11 9.94783e-11 1.01205e-10 -1.01729e-10 2.09948e-10 1.97289e-10 -1.01205e-10 9.78383e-11 9.78383e-11 -1.04795e-10 2.08076e-10 2.08076e-10 -1.04795e-10 1.11981e-10 -1.11981e-10 1.04974e-10 1.98957e-10 -1.01729e-10 1.01287e-10 1.9695e-10 -1.01287e-10 9.84752e-11 2.02574e-10 -1.01287e-10 9.94783e-11 2.09948e-10 -1.01729e-10 1.01729e-10 1.98957e-10 -1.04974e-10 1.01205e-10 2.0241e-10 -9.86446e-11 9.94783e-11 2.03457e-10 -1.04974e-10 1.04795e-10 1.95677e-10 -1.04038e-10 9.78383e-11 2.0959e-10 -1.04038e-10 1.11981e-10 2.23962e-10
0.055 5.72024e-10 6.15696e-10 1.07587e-09 -5.76182e-10 5.3793e-10 5.4237e-10 -5.72034e-10 1.15238e-09 -1.2314e-09 1.1129e-09 -5.5645e-10 5.46952e-10 5.56905e-10 -5.77178e-10 1.11865e-09 1.1138e-09 -5.41438e-10 5.46957e-10 5.56451e-10 -5.59332e-10 1.15435e-09 1.08474e-09 -5.56451e-10 5.37936e-10 5.37936e-10 -5.76195e-10 1.14406e-09 1.14406e-09 -5.76195e-10 6.157e-10 -6.157e-10 5.77172e-10 1.09391e-09 -5.59322e-10 5.569e-10 1.08288e-09 -5.569e-10 5.41438e-10 1.1138e-09 -5.56905e-10 5.46957e-10 1.15435e-09 -5.59332e-10 5.59322e-10 1.09391e-09 -5.77172e-10 5.5645e-10 1.1129e-09 -5.4237e-10 5.46952e-10 1.11865e-09 -5.77178e-10 5.76182e-10 1.07587e-09 -5.72024e-10 5.3793e-10 1.15238e-09 -5.72034e-10 6.15696e-10 1.2314e-09
0.2575 2.67102e-09 2.87492e-09 5.02298e-09 -2.69005e-09 2.51116e-09 2.53262e-09 -2.67197e-09 5.38141e-09 -5.75017e-09 5.19726e-09 -2.59857e-09 2.55379e-09 2.60118e-09 -2.69585e-09 5.22348e-09 5.20175e-09 -2.52815e-09 2.55431e-09 2.59869e-09 -2.61226e-09 5.39109e-09 5.06523e-09 -2.59869e-09 2.51182e-09 2.51182e-09 -2.69136e-09 5.34299e-09 5.34299e-09 -2.69136e-09 2.87525e-09 -2.87525e-09 2.69524e-09 5.10809e-09 -2.61122e-09 2.60057e-09 5.0563e-09 -2.60057e-09 2.52815e-09 5.20175e-09 -2.60118e-09 2.55431e-09 5.39109e-09 -2.61226e-09 2.61122e-09 5.10809e-09 -2.69524e-09 2.59857e-09 5.19726e-09 -2.53262e-09 2.55379e-09 5.22348e-09 -2.69585e-09 2.69005e-09 5.02298e-09 -2.67102e-09 2.51116e-09 5.38141e-09 -2.67197e-09 2.87492e-09 5.75017e-09
1.16875 1.16904e-08 1.25806e-08 2.19215e-08 -1.17387e-08 1.09306e-08 1.10904e-08 -1.17778e-08 2.35976e-08 -2.51908e-08 2.28081e-08 -1.1399e-08 1.11624e-08 1.14542e-08 -1.18682e-08 2.28638e-08 2.28522e-08 -1.10608e-08 1.12104e-08 1.14092e-08 -1.14789e-08 2.36817e-08 2.21808e-08 -1.14092e-08 1.09909e-08 1.09909e-08 -1.18589e-08 2.34681e-08 2.34681e-08 -1.18589e-08 1.26102e-08 -1.26102e-08 1.18134e-08 2.23728e-08 -1.13848e-08 1.1398e-08 2.21216e-08 -1.1398e-08 1.10608e-08 2.28522e-08 -1.14542e-08 1.12104e-08 2.36817e-08 -1.14789e-08 1.13848e-08 2.23728e-08 -1.18134e-08 1.1399e-08 2.28081e-08 -1.10904e-08 1.11624e-08 2.28638e-08 -1.18683e-08 1.17387e-08 2.19215e-08 -1.16904e-08 1.09306e-08 2.35976e-08 -1.17778e-08 1.25806e-08 2.51908e-08
3.98051 2.6863e-08 2.8972e-08 4.84292e-08 -2.59384e-08 2.32589e-08 2.57105e-08 -2.9727e-08 5.57385e-08 -5.86606e-08 5.44735e-08 -2.71659e-08 2.51313e-08 2.86596e-08 -2.93618e-08 5.26553e-08 5.5351e-08 -2.5324e-08 2.6842e-08 2.73076e-08 -2.77601e-08 5.72441e-08 5.14209e-08 -2.73076e-08 2.51703e-08 2.51703e-08 -2.98001e-08 5.659e-08 5.659e-08 -2.98001e-08 2.96886e-08 -2.96886e-08 2.78823e-08 5.19732e-08 -2.48952e-08 2.66915e-08 5.0648e-08 -2.66915e-08 2.5324e-08 5.5351e-08 -2.86595e-08 2.6842e-08 5.72441e-08 -2.77601e-08 2.48952e-08 5.19732e-08 -2.78823e-08 2.71659e-08 5.44735e-08 -2.57105e-08 2.51313e-08 5.26553e-08 -2.93619e-08 2.59384e-08 4.84292e-08 -2.6863e-08 2.32589e-08 5.57385e-08 -2.9727e-08 2.8972e-08 5.86606e-08
6.79228 1.48891e-08 1.74112e-08 2.15442e-08 -1.18841e-08 7.86936e-09 1.51006e-08 -2.4484e-08 3.60816e-08 -3.50433e-08 3.71199e-08 -1.91477e-08 1.20672e-08 2.37875e-08 -2.14761e-08 2.97994e-08 3.98971e-08 -1.3997e-08 1.89545e-08 1.79722e-08 -1.88278e-08 4.06181e-08 3.02012e-08 -1.79722e-08 1.36748e-08 1.36748e-08 -2.41976e-08 3.93731e-08 3.93731e-08 -2.41976e-08 1.76321e-08 -1.76321e-08 1.9142e-08 3.10217e-08 -1.09716e-08 1.61097e-08 2.7994e-08 -1.61097e-08 1.3997e-08 3.98972e-08 -2.37875e-08 1.89545e-08 4.06181e-08 -1.88278e-08 1.09716e-08 3.10217e-08 -1.9142e-08 1.91477e-08 3.71199e-08 -1.51006e-08 1.20672e-08 2.97994e-08 -2.14761e-08 1.18841e-08 2.15442e-08 -1.48891e-08 7.86936e-09 3.60816e-08 -2.44841e-08 1.74112e-08 3.50433e-08
9.60404 -1.00905e-08 -4.4916e-09 -2.67733e-08 1.30127e-08 -1.65747e-08 -8.26666e-09 -4.15646e-09 -9.61093e-09 1.61444e-08 -5.79495e-09 -8.31333e-10 -1.36392e-08 6.61731e-09 4.50826e-09 -1.87479e-08 -1.90453e-09 9.49474e-09 3.61753e-10 -6.62624e-09 6.18493e-09 -4.04769e-09 -1.65333e-08 6.62626e-09 -1.01985e-08 -1.01985e-08 -3.40184e-09 -5.93397e-09 -5.934e-09 -3.40183e-09 -1.16527e-08 1.16527e-08 4.60578e-10 -1.32775e-08 1.2563e-08 -8.5218e-09 -1.89895e-08 8.5218e-09 -9.49473e-09 -1.90452e-09 -6.61729e-09 3.61733e-10 -4.04773e-09 6.18493e-09 -1.2563e-08 -1.32775e-08 -4.60564e-10 8.31342e-10 -5.79494e-09 8.26668e-09 -1.36392e-08 -1.87479e-08 4.50822e-09 -1.30127e-08 -2.67733e-08 1.00905e-08 -1.65747e-08 -9.61091e-09 -4.15651e-09 -4.49162e-09 -1.61444e-08
12.4158 -2.24304e-08 -9.18464e-09 -4.53262e-08 2.20306e-08 -2.25589e-08 -2.22592e-08 1.07269e-08 -3.39789e-08 4.01418e-08 -3.01822e-08 5.58176e-09 -2.57169e-08 -3.59323e-09 2.66414e-08 -4.5454e-08 -2.75107e-08 2.22788e-08 -6.68914e-09 -2.46004e-08 2.50256e-08 -3.23208e-08 -4.45184e-08 2.46004e-08 -2.27673e-08 -2.27673e-08 1.19483e-08 -3.31572e-08 -3.31572e-08 1.19483e-08 -3.09571e-08 3.09572e-08 -5.67941e-09 -3.24062e-08 2.04285e-08 -2.39174e-08 -4.45575e-08 2.39174e-08 -2.22788e-08 -2.75107e-08 3.59324e-09 -6.68917e-09 -3.23208e-08 2.50256e-08 -2.04285e-08 -3.24062e-08 5.67942e-09 -5.58174e-09 -3.01822e-08 2.22592e-08 -2.5717e-08 -4.5454e-08 2.66414e-08 -2.20306e-08 -4.53262e-08 2.24304e-08 -2.25589e-08 -3.39788e-08 1.07269e-08 -9.18465e-09 -4.01418e-08
15.3897 -1.10387e-08 1.04692e-08 -1.88479e-08 7.58548e-09 -4.59454e-09 -1.64588e-08 5.48168e-09 -1.4561e-08 1.23359e-08 -1.3421e-08 -8.71739e-09 -1.30606e-08 3.91447e-09 2.66544e-08 -2.97167e-08 -1.33384e-08 1.49019e-08 6.05376e-09 -2.21384e-08 2.2327e-08 -1.94765e-08 -3.29175e-08 2.21384e-08 -1.42533e-08 -1.42533e-08 6.97547e-09 -1.65203e-08 -1.65203e-08 6.97549e-09 -2.2805e-08 2.28051e-08 7.17788e-09 -7.00696e-09 7.38969e-09 -1.72529e-08 -2.98038e-08 1.72529e-08 -1.49019e-08 -1.33385e-08 -3.91447e-09 6.05372e-09 -1.94765e-08 2.23271e-08 -7.38968e-09 -7.00696e-09 -7.17788e-09 8.71741e-09 -1.3421e-08 1.64588e-08 -1.30607e-08 -2.97166e-08 2.66544e-08 -7.5855e-09 -1.88479e-08 1.10386e-08 -4.59452e-09 -1.45609e-08 5.48174e-09 1.04692e-08 -1.23359e-08
18.3636 9.77408e-09 3.18265e-08 1.71879e-08 -1.20578e-08 1.36926e-08 1.22323e-09 -1.60045e-08 2.75128e-08 -3.6032e-08 2.75582e-08 -3.07653e-08 8.42301e-09 2.3674e-08 4.55837e-09 7.01392e-09 2.67737e-08 -2.36962e-09 2.44075e-08 -3.20716e-09 1.812e-09 2.04683e-08 2.44647e-09 3.20712e-09 3.49525e-09 3.49527e-09 -1.5455e-08 2.57785e-08 2.57786e-08 -1.5455e-08 4.20555e-09 -4.20554e-09 2.50266e-08 3.28304e-08 -8.8259e-09 3.09971e-09 4.73925e-09 -3.09973e-09 2.36962e-09 2.67737e-08 -2.3674e-08 2.44074e-08 2.04683e-08 1.81203e-09 8.82591e-09 3.28304e-08 -2.50266e-08 3.07653e-08 2.75582e-08 -1.22322e-09 8.42297e-09 7.01395e-09 4.55839e-09 1.20578e-08 1.71879e-08 -9.77414e-09 1.36927e-08 2.75129e-08 -1.60044e-08 3.18265e-08 3.6032e-08
21.3375 1.77319e-08 3.25753e-08 2.40863e-08 -1.62446e-08 1.09342e-08 1.39084e-08 -3.45827e-08 5.26606e-08 -5.52902e-08 5.47777e-08 -4.04723e-08 1.52812e-08 4.07997e-08 -1.84996e-08 2.8658e-08 5.66728e-08 -1.24556e-08 3.09876e-08 1.43053e-08 -1.69097e-08 5.08908e-08 2.78168e-08 -1.43054e-08 1.31521e-08 1.31521e-08 -3.64161e-08 5.23145e-08 5.23145e-08 -3.64161e-08 2.27149e-08 -2.27149e-08 3.23912e-08 4.62688e-08 -1.17483e-08 1.58732e-08 2.49113e-08 -1.58732e-08 1.24556e-08 5.66729e-08 -4.07996e-08 3.09876e-08 5.08908e-08 -1.69097e-08 1.17484e-08 4.62688e-08 -3.23912e-08 4.04724e-08 5.47777e-08 -1.39084e-08 1.52812e-08 2.8658e-08 -1.84996e-08 1.62445e-08 2.40864e-08 -1.77319e-08 1.09342e-08 5.26606e-08 -3.45827e-08 3.25753e-08 5.52902e-08
24.3113 7.88467e-09 1.78783e-08 3.09417e-09 -3.98432e-09 -6.61326e-09 1.18461e-08 -3.6427e-08 4.32847e-08 -3.35377e-08 4.75617e-08 -3.1726e-08 3.32663e-09 4.45321e-08 -2.19282e-08 2.13145e-08 5.46734e-08 -8.24559e-09 2.51929e-08 1.58357e-08 -1.85778e-08 4.9652e-08 2.36921e-08 -1.58357e-08 9.70744e-09 9.70745e-09 -3.93005e-08 4.43116e-08 4.43116e-08 -3.93005e-08 1.56594e-08 -1.56594e-08 2.77238e-08 2.85194e-08 -2.73671e-09 1.01414e-08 1.64912e-08 -1.01414e-08 8.24562e-09 5.46734e-08 -4.4532e-08 2.51929e-08 4.96519e-08 -1.85779e-08 2.73673e-09 2.85194e-08 -2.77238e-08 3.1726e-08 4.75617e-08 -1.18461e-08 3.32662e-09 2.13144e-08 -2.19283e-08 3.98427e-09 3.09416e-09 -7.88465e-09 -6.61326e-09 4.32847e-08 -3.64273e-08 1.78783e-08 3.35377e-08
26.7212 -3.99468e-09 9.78996e-09 -1.56981e-08 7.6275e-09 -1.65688e-08 1.57178e-09 -2.69713e-08 1.98323e-08 -5.82082e-09 2.47958e-08 -1.99558e-08 -1.02318e-08 3.72118e-08 -8.33455e-09 2.08244e-09 3.50295e-08 1.68435e-09 1.91485e-08 4.84016e-09 -7.20678e-09 2.96105e-08 3.14347e-09 -4.84016e-09 8.70788e-10 8.70789e-10 -2.74599e-08 2.29767e-08 2.29766e-08 -2.74599e-08 -3.96903e-09 3.96907e-09 2.1276e-08 8.91655e-09 5.12434e-09 -2.18218e-09 -3.36871e-09 2.1822e-09 -1.68432e-09 3.50295e-08 -3.72118e-08 1.91485e-08 2.96103e-08 -7.20679e-09 -5.12432e-09 8.91656e-09 -2.12759e-08 1.99558e-08 2.47958e-08 -1.57176e-09 -1.02318e-08 2.08241e-09 -8.33466e-09 -7.62757e-09 -1.56981e-08 3.9947e-09 -1.65688e-08 1.98324e-08 -2.69715e-08 9.78994e-09 5.82084e-09
29.2471 -1.01707e-08 1.3145e-08 -2.37508e-08 1.17275e-08 -1.47521e-08 -9.61826e-09 -1.49354e-08 -9.92056e-10 9.92831e-09 5.0603e-09 -1.52163e-08 -1.77634e-08 2.54938e-08 1.1464e-08 -1.698e-08 1.40608e-08 1.0492e-08 1.69121e-08 -1.01558e-08 8.96786e-09 6.3206e-09 -1.92365e-08 1.01558e-08 -8.99869e-09 -8.99868e-09 -1.07355e-08 4.76483e-09 4.7648e-09 -1.07355e-08 -2.30733e-08 2.30733e-08 1.77845e-08 -8.51547e-10 8.01223e-09 -1.14327e-08 -2.09841e-08 1.14328e-08 -1.0492e-08 1.40608e-08 -2.54938e-08 1.69121e-08 6.3205e-09 8.96788e-09 -8.01221e-09 -8.5154e-10 -1.77845e-08 1.52163e-08 5.06032e-09 9.61826e-09 -1.77634e-08 -1.698e-08 1.14639e-08 -1.17276e-08 -2.37509e-08 1.01707e-08 -1.4752e-08 -9.9193e-10 -1.49355e-08 1.31451e-08 -9.92833e-09
31.773 -6.93194e-09 2.4402e-08 -1.85073e-08 5.5727e-09 -3.96953e-09 -1.4034e-08 -9.02081e-09 -3.92722e-09 3.36353e-09 4.07074e-09 -2.27897e-08 -1.46672e-08 1.83491e-08 2.32999e-08 -2.4672e-08 7.2105e-09 1.20404e-08 1.87348e-08 -1.87188e-08 1.95979e-08 -4.02991e-09 -2.80679e-08 1.87188e-08 -1.45377e-08 -1.45377e-08 -1.64551e-09 2.08903e-09 2.08909e-09 -1.64548e-09 -2.77655e-08 2.77655e-08 1.92697e-08 4.06725e-09 5.07428e-09 -1.11385e-08 -2.40809e-08 1.11386e-08 -1.20404e-08 7.21045e-09 -1.83492e-08 1.87347e-08 -4.02995e-09 1.95979e-08 -5.07426e-09 4.06725e-09 -1.92696e-08 2.27898e-08 4.07075e-09 1.4034e-08 -1.46673e-08 -2.46719e-08 2.32999e-08 -5.57276e-09 -1.85073e-08 6.93187e-09 -3.96949e-09 -3.92706e-09 -9.02072e-09 2.4402e-08 -3.36358e-09
34.2989 1.14953e-09 3.30945e-08 -6.6242e-09 -4.7851e-09 5.86269e-09 -9.73782e-09 -1.26591e-08 1.13177e-08 -1.74214e-08 1.98884e-08 -3.63448e-08 -4.54594e-09 2.20413e-08 1.93323e-08 -1.83728e-08 1.80197e-08 6.76086e-09 2.15682e-08 -1.64562e-08 1.84421e-08 4.07187e-09 -1.94754e-08 1.64562e-08 -1.24869e-08 -1.24869e-08 -6.53269e-09 1.38088e-08 1.38089e-08 -6.53265e-09 -1.56731e-08 1.56731e-08 2.34037e-08 1.70219e-08 -6.91142e-11 -4.02155e-09 -1.35218e-08 4.02159e-09 -6.76088e-09 1.80197e-08 -2.20414e-08 2.15681e-08 4.07188e-09 1.84421e-08 6.91365e-11 1.70219e-08 -2.34037e-08 3.63448e-08 1.98884e-08 9.73785e-09 -4.54605e-09 -1.83727e-08 1.93323e-08 4.78508e-09 -6.62418e-09 -1.14965e-09 5.86274e-09 1.13179e-08 -1.2659e-08 3.30945e-08 1.74214e-08
36.8248 6.85669e-09 3.254e-08 3.49571e-09 -1.07545e-08 7.2737e-09 -7.77051e-10 -2.29485e-08 3.21042e-08 -3.61094e-08 3.79489e-08 -4.49947e-08 4.67102e-09 3.53156e-08 3.11407e-09 -3.0517e-09 3.81718e-08 2.46518e-10 2.35262e-08 -7.04575e-09 6.54255e-09 2.38022e-08 -1.55385e-09 7.04573e-09 -3.77807e-09 -3.77802e-09 -2.13498e-08 2.98053e-08 2.98054e-08 -2.13498e-08 3.56929e-09 -3.56927e-09 2.69158e-08 2.81969e-08 -3.4907e-09 2.85612e-09 -4.93052e-10 -2.85609e-09 -2.46527e-10 3.81717e-08 -3.53156e-08 2.35261e-08 2.38022e-08 6.54258e-09 3.49072e-09 2.81969e-08 -2.69159e-08 4.49947e-08 3.79489e-08 7.7711e-10 4.67093e-09 -3.05168e-09 3.11413e-09 1.07545e-08 3.49576e-09 -6.85681e-09 7.27374e-09 3.21043e-08 -2.29484e-08 3.254e-08 3.61094e-08
39.3507 6.29913e-09 2.486e-08 6.37035e-09 -8.45231e-09 2.82127e-10 6.40739e-09 -3.30881e-08 4.37421e-08 -4.08516e-08 4.57184e-08 -4.34503e-08 6.11303e-09 4.95198e-08 -1.33335e-08 1.20303e-08 5.40957e-08 -2.12232e-09 2.53953e-08 2.26812e-09 -8.47702e-09 4.18436e-08 1.28149e-08 -2.26814e-09 6.08813e-09 6.08816e-09 -3.52898e-08 3.93873e-08 3.93873e-08 -3.52898e-08 1.59915e-08 -1.59915e-08 2.85098e-08 3.15079e-08 -3.55327e-09 4.57589e-09 4.24473e-09 -4.57586e-09 2.12234e-09 5.40957e-08 -4.95197e-08 2.53953e-08 4.18436e-08 -8.47703e-09 3.55327e-09 3.1508e-08 -2.85099e-08 4.34503e-08 4.57184e-08 -6.40733e-09 6.11299e-09 1.20303e-08 -1.33334e-08 8.4523e-09 6.37038e-09 -6.29918e-09 2.82127e-10 4.37422e-08 -3.30883e-08 2.486e-08 4.08516e-08
41.8766 1.02219e-09 1.76567e-08 1.49395e-09 -1.25229e-09 -9.04387e-09 7.43267e-09 -3.68637e-08 4.05462e-08 -3.14202e-08 4.2237e-08 -3.57961e-08 -1.23561e-09 5.4993e-08 -1.87633e-08 1.78864e-08 5.62197e-08 3.02259e-10 2.83775e-08 6.4409e-09 -1.69453e-08 4.76226e-08 1.48654e-08 -6.44092e-09 1.05378e-08 1.05378e-08 -3.92939e-08 3.78859e-08 3.78858e-08 -3.92939e-08 1.37636e-08 -1.37636e-08 2.8859e-08 2.71415e-08 -9.41072e-10 1.22682e-09 -6.04333e-10 -1.22679e-09 -3.02205e-10 5.62198e-08 -5.49929e-08 2.83775e-08 4.76225e-08 -1.69454e-08 9.41075e-10 2.71415e-08 -2.8859e-08 3.57961e-08 4.2237e-08 -7.43264e-09 -1.23561e-09 1.78864e-08 -1.87634e-08 1.25223e-09 1.49392e-09 -1.02217e-09 -9.0439e-09 4.05463e-08 -3.6864e-08 1.76566e-08 3.14203e-08
44.4025 -4.37487e-09 1.68201e-08 -7.05135e-09 4.09333e-09 -1.37828e-08 2.34207e-09 -3.26369e-08 2.80405e-08 -1.6969e-08 3.48062e-08 -3.02571e-08 -1.17142e-08 4.88865e-08 -1.09628e-08 1.08059e-08 4.55761e-08 3.8497e-09 3.11964e-08 4.54924e-09 -1.31826e-08 3.95227e-08 4.68406e-09 -4.54927e-09 6.73155e-09 6.73153e-09 -3.21339e-08 2.82621e-08 2.8262e-08 -3.21339e-08 1.48929e-10 -1.48897e-10 2.85596e-08 1.94817e-08 2.37676e-09 -3.31014e-09 -7.69924e-09 3.31015e-09 -3.84964e-09 4.55762e-08 -4.88864e-08 3.11964e-08 3.95225e-08 -1.31826e-08 -2.37675e-09 1.94817e-08 -2.85595e-08 3.02571e-08 3.48063e-08 -2.34206e-09 -1.17142e-08 1.08059e-08 -1.0963e-08 -4.09346e-09 -7.05143e-09 4.37493e-09 -1.37829e-08 2.80406e-08 -3.26372e-08 1.68201e-08 1.6969e-08
46.9284 -6.19786e-09 2.209e-08 -1.34134e-08 3.46849e-09 -1.09002e-08 -4.92142e-09 -2.42809e-08 1.63363e-08 -7.75502e-09 2.99341e-08 -3.12623e-08 -1.75074e-08 3.73148e-08 2.54275e-09 -4.43505e-09 3.26272e-08 4.7491e-09 3.06843e-08 -1.32796e-09 4.41623e-10 2.45402e-08 -9.84291e-09 1.32792e-09 -2.51303e-09 -2.51303e-09 -1.98049e-08 1.80831e-08 1.80831e-08 -1.98049e-08 -1.43349e-08 1.43349e-08 2.70827e-08 1.31763e-08 3.99354e-09 -4.68726e-09 -9.49819e-09 4.68727e-09 -4.74905e-09 3.26272e-08 -3.73147e-08 3.06843e-08 2.45401e-08 4.41634e-10 -3.99351e-09 1.31763e-08 -2.70826e-08 3.12623e-08 2.99341e-08 4.92144e-09 -1.75074e-08 -4.43505e-09 2.54255e-09 -3.46864e-09 -1.34135e-08 6.19787e-09 -1.09002e-08 1.63364e-08 -2.42811e-08 2.20901e-08 7.75503e-09
49.4543 -4.06025e-09 2.82217e-08 -1.38893e-08 -1.89564e-09 -2.90643e-09 -9.17223e-09 -1.81339e-08 1.20331e-08 -7.93223e-09 2.88601e-08 -3.64054e-08 -1.50613e-08 2.97329e-08 1.11923e-08 -1.69025e-08 2.80189e-08 2.70549e-09 2.57199e-08 -7.5449e-09 1.45294e-08 1.27296e-08 -1.83444e-08 7.54486e-09 -1.09826e-08 -1.09826e-08 -1.01376e-08 1.40738e-08 1.40738e-08 -1.01376e-08 -2.02893e-08 2.02893e-08 2.39214e-08 1.06578e-08 2.37335e-09 -1.71376e-09 -5.41119e-09 1.71379e-09 -2.7055e-09 2.80188e-08 -2.9733e-08 2.57198e-08 1.27295e-08 1.45294e-08 -2.37331e-09 1.06578e-08 -2.39213e-08 3.64055e-08 2.88602e-08 9.17228e-09 -1.50615e-08 -1.69025e-08 1.11921e-08 1.89555e-09 -1.38893e-08 4.06017e-09 -2.90638e-09 1.20333e-08 -1.81339e-08 2.82218e-08 7.93222e-09
51.9802 -5.87693e-10 2.96982e-08 -9.20545e-09 -7.42216e-09 4.10195e-09 -7.33087e-09 -1.809e-08 1.5035e-08 -1.4377e-08 2.93756e-08 -4.00396e-08 -7.61763e-09 3.09593e-08 9.19998e-09 -1.75704e-08 3.33485e-08 7.14577e-10 1.96147e-08 -1.06635e-08 1.89896e-08 1.09073e-08 -1.46615e-08 1.06635e-08 -1.33073e-08 -1.33072e-08 -7.61302e-09 1.75024e-08 1.75026e-08 -7.61298e-09 -1.53212e-08 1.53212e-08 2.01066e-08 1.19962e-08 -1.41902e-09 2.3895e-09 -1.42947e-09 -2.38943e-09 -7.14632e-10 3.33484e-08 -3.09594e-08 1.96146e-08 1.09073e-08 1.89896e-08 1.41904e-09 1.19962e-08 -2.01066e-08 4.00396e-08 2.93756e-08 7.33092e-09 -7.61781e-09 -1.75703e-08 9.19997e-09 7.42216e-09 -9.2054e-09 5.8754e-10 4.10204e-09 1.50352e-08 -1.80898e-08 2.96984e-08 1.4377e-08
54.5061 8.6677e-10 2.49504e-08 -3.39364e-09 -9.18502e-09 4.80312e-09 -7.33946e-10 -2.28323e-08 2.08845e-08 -2.08959e-08 2.92263e-08 -3.89882e-08 -1.83218e-09 3.81595e-08 -1.45671e-09 -6.69294e-09 4.12782e-08 1.71665e-09 1.74055e-08 -9.76159e-09 1.05622e-08 1.93439e-08 -1.46755e-09 9.76154e-09 -8.19679e-09 -8.19672e-09 -1.16996e-08 2.36994e-08 2.36995e-08 -1.16996e-08 -4.05468e-09 4.0547e-09 1.78863e-08 1.55725e-08 -3.8691e-09 3.11896e-09 -3.43355e-09 -3.11886e-09 -1.71671e-09 4.12781e-08 -3.81595e-08 1.74054e-08 1.93439e-08 1.05623e-08 3.8691e-09 1.55725e-08 -1.78864e-08 3.89883e-08 2.92263e-08 7.33989e-10 -1.83233e-09 -6.69289e-09 -1.45663e-09 9.18507e-09 -3.39357e-09 -8.66922e-10 4.80319e-09 2.08846e-08 -2.28322e-08 2.49504e-08 2.08959e-08
57.032 -1.14807e-09 1.72493e-08 -3.99354e-10 -6.5876e-09 -1.31017e-09 5.32325e-09 -2.75207e-08 2.50967e-08 -2.32398e-08 2.7955e-08 -3.47698e-08 -2.17999e-09 4.46289e-08 -1.35941e-08 6.75764e-09 4.41735e-08 5.39811e-09 2.07915e-08 -6.81462e-09 -4.51585e-09 3.22581e-08 1.06469e-08 6.81458e-09 9.10679e-10 9.10708e-10 -1.85091e-08 2.63731e-08 2.63732e-08 -1.85091e-08 5.99025e-09 -5.99021e-09 1.86632e-08 1.86107e-08 -2.24162e-09 -4.55175e-10 -1.07962e-08 4.55235e-10 -5.3981e-09 4.41736e-08 -4.46288e-08 2.07915e-08 3.22582e-08 -4.51582e-09 2.24161e-09 1.86107e-08 -1.86633e-08 3.47699e-08 2.7955e-08 -5.32322e-09 -2.18004e-09 6.75766e-09 -1.3594e-08 6.58762e-09 -3.99322e-10 1.148e-09 -1.31017e-09 2.50968e-08 -2.75208e-08 1.72492e-08 2.32398e-08
