# mu freq sigma_base sigma_full diff
2.30 0.0393218 0.0191411 0.0106214 0.0085197
2.30 0.0396893 0.0159451 0.0105713 0.0053738
2.30 0.0400568 0.0156355 0.0122026 0.0034329
2.30 0.0404243 0.0143914 0.00666625 0.00772515
2.30 0.0407918 0.00844815 -0.00385508 0.0123032
2.30 0.0411592 0.00553768 -0.00418926 0.00972694
2.30 0.0415267 0.00213025 -0.0101904 0.0123207
2.30 0.0418942 0.000634568 -0.0150608 0.0156954
2.30 0.0422617 0.0046917 -0.0117698 0.0164615
2.30 0.0426292 0.00536651 -0.0174807 0.0228472
2.30 0.0429967 0.00504638 -0.0145584 0.0196048
2.30 0.0433642 0.00445069 -0.00565955 0.0101102
2.30 0.0437317 0.000276104 -0.00995331 0.0102294
2.30 0.0440992 -0.000581335 -0.00617557 0.00559424
2.30 0.0444667 -0.00253401 -0.00364546 0.00111145
2.30 0.0448342 -0.00576078 -0.012378 0.00661722
2.30 0.0452017 -0.0022725 -0.0088799 0.0066074
2.30 0.0455692 -0.00186107 -0.00916585 0.00730478
2.30 0.0459367 -0.00413967 -0.0174308 0.0132911
2.30 0.0463042 -0.00251227 -0.0147999 0.0122876
2.30 0.0466716 -0.00475055 -0.0134382 0.00868765
2.30 0.0470391 -0.00622287 -0.00953364 0.00331077
2.30 0.0474066 -0.00444141 -0.00390365 -0.00053776
2.30 0.0477741 -0.00387845 -0.00898778 0.00510933
2.30 0.0481416 0.00208771 -0.00547597 0.00756368
2.30 0.0485091 0.00642536 -1.94983e-05 0.00644486
2.30 0.0488766 0.00501385 -0.00398231 0.00899616
2.30 0.0492441 0.00766737 0.00174435 0.00592302
2.30 0.0496116 0.0083807 0.00776875 0.00061195
2.30 0.0499791 0.00894244 0.00972401 -0.00078157
2.30 0.0503466 0.0147315 0.013009 0.0017225
2.30 0.0507141 0.0144654 0.00519124 0.00927416
2.30 0.0510816 0.0116451 0.00145263 0.0101925
2.30 0.0514491 0.00911341 0.00268065 0.00643276
2.30 0.0518165 0.00164328 -0.00457209 0.00621537
2.30 0.052184 -0.0027945 0.00225918 -0.00505368
2.30 0.0525515 -0.00924021 0.0137753 -0.0230155
2.30 0.052919 -0.0202374 0.00980868 -0.0300461
2.30 0.0532865 -0.0249573 0.00336768 -0.028325
2.30 0.053654 -0.0313108 -0.00799799 -0.0233128
2.30 0.0540215 -0.0368816 -0.0142812 -0.0226004
2.30 0.054389 -0.033963 -0.0128672 -0.0210958
2.30 0.0547565 -0.0353751 -0.0246944 -0.0106807
2.30 0.055124 -0.0357475 -0.0269065 -0.008841
2.30 0.0554915 -0.0301672 -0.0193303 -0.0108369
2.30 0.055859 -0.0286216 -0.0287603 0.0001387
