# mu freq sigma_base sigma_full diff
2.30 0 0 0 0
2.30 0.000367493 0.000168216 0.00016764 5.76e-07
2.30 0.000734987 0.000234683 0.000234067 6.16e-07
2.30 0.00110248 0.00138688 0.0013819 4.98e-06
2.30 0.00146997 0.00117744 0.00117371 3.73e-06
2.30 0.00183747 0.00334684 0.00333496 1.188e-05
2.30 0.00220496 0.00339581 0.00338451 1.13e-05
2.30 0.00257245 0.00565786 0.00563805 1.981e-05
2.30 0.00293995 0.00731102 0.00728513 2.589e-05
2.30 0.00330744 0.00855432 0.00852384 3.048e-05
2.30 0.00367493 0.0128399 0.0127929 4.7e-05
2.30 0.00404243 0.0130386 0.0129916 4.7e-05
2.30 0.00440992 0.0196684 0.0195962 7.22e-05
2.30 0.00477741 0.0206523 0.0205782 7.41e-05
2.30 0.00514491 0.0282236 0.0281216 0.000102
2.30 0.0055124 0.0332922 0.0331742 0.000118
2.30 0.00587989 0.0410327 0.0408888 0.0001439
2.30 0.00624739 0.0539884 0.0538007 0.0001877
2.30 0.00661488 0.0645227 0.0643034 0.0002193
2.30 0.00698237 0.086333 0.0860387 0.0002943
2.30 0.00734987 0.0979051 0.0975767 0.0003284
2.30 0.00771736 0.123231 0.122816 0.000415
2.30 0.00808485 0.153829 0.153318 0.000511
2.30 0.00845234 0.210865 0.21017 0.000695
2.30 0.00881984 0.296368 0.295402 0.000966
2.30 0.00918733 0.377074 0.375856 0.001218
2.30 0.00955482 0.403948 0.402638 0.00131
2.30 0.00992232 0.350408 0.349267 0.001141
2.30 0.0102898 0.305937 0.304924 0.001013
2.30 0.0106573 0.271784 0.270879 0.000905
2.30 0.0110248 0.27439 0.273468 0.000922
2.30 0.0113923 0.302423 0.30141 0.001013
2.30 0.0117598 0.361957 0.360756 0.001201
2.30 0.0121273 0.469469 0.467924 0.001545
2.30 0.0124948 0.553209 0.551408 0.001801
2.30 0.0128623 0.572698 0.570824 0.001874
2.30 0.0132298 0.513281 0.511596 0.001685
2.30 0.0135973 0.4925 0.490867 0.001633
2.30 0.0139647 0.50778 0.506097 0.001683
2.30 0.0143322 0.58031 0.578393 0.001917
2.30 0.0146997 0.698764 0.696469 0.002295
2.30 0.0150672 0.74198 0.739553 0.002427
2.30 0.0154347 0.688932 0.686653 0.002279
2.30 0.0158022 0.580537 0.578597 0.00194
2.30 0.0161697 0.534799 0.532981 0.001818
2.30 0.0165372 0.502331 0.500613 0.001718
2.30 0.0169047 0.512364 0.510601 0.001763
2.30 0.0172722 0.563395 0.561464 0.001931
2.30 0.0176397 0.641131 0.638955 0.002176
2.30 0.0180072 0.723738 0.721291 0.002447
2.30 0.0183747 0.715909 0.713494 0.002415
2.30 0.0187422 0.733159 0.730672 0.002487
2.30 0.0191096 0.784696 0.782053 0.002643
2.30 0.0194771 0.918398 0.915326 0.003072
2.30 0.0198446 1.05883 1.05533 0.0035
2.30 0.0202121 1.10129 1.09765 0.00364
2.30 0.0205796 1.03051 1.02708 0.00343
2.30 0.0209471 0.922278 0.919182 0.003096
2.30 0.0213146 0.93135 0.928202 0.003148
2.30 0.0216821 0.973138 0.969869 0.003269
2.30 0.0220496 1.03081 1.02734 0.00347
2.30 0.0224171 0.965101 0.961841 0.00326
2.30 0.0227846 0.849219 0.846305 0.002914
2.30 0.0231521 0.774709 0.772008 0.002701
2.30 0.0235196 0.702447 0.699966 0.002481
2.30 0.0238871 0.679257 0.67682 0.002437
2.30 0.0242546 0.62159 0.619337 0.002253
2.30 0.024622 0.610754 0.608503 0.002251
2.30 0.0249895 0.573879 0.571742 0.002137
2.30 0.025357 0.563409 0.561281 0.002128
2.30 0.0257245 0.562656 0.560517 0.002139
2.30 0.026092 0.551105 0.548992 0.002113
2.30 0.0264595 0.586415 0.584163 0.002252
2.30 0.026827 0.585767 0.583517 0.00225
2.30 0.0271945 0.648517 0.646035 0.002482
2.30 0.027562 0.673892 0.671332 0.00256
2.30 0.0279295 0.724752 0.722002 0.00275
2.30 0.028297 0.749619 0.746784 0.002835
2.30 0.0286645 0.751714 0.74886 0.002854
2.30 0.029032 0.775623 0.772671 0.002952
2.30 0.0293995 0.758303 0.755405 0.002898
2.30 0.029767 0.802878 0.799805 0.003073
2.30 0.0301344 0.793345 0.790308 0.003037
2.30 0.0305019 0.836106 0.8329 0.003206
2.30 0.0308694 0.844639 0.841403 0.003236
2.30 0.0312369 0.852751 0.849465 0.003286
2.30 0.0316044 0.880716 0.877321 0.003395
2.30 0.0319719 0.877759 0.874364 0.003395
2.30 0.0323394 0.934569 0.930956 0.003613
2.30 0.0327069 0.914267 0.910713 0.003554
2.30 0.0330744 0.955998 0.952261 0.003737
2.30 0.0334419 0.955523 0.951778 0.003745
2.30 0.0338094 0.994655 0.990745 0.00391
2.30 0.0341769 1.0488 1.0447 0.0041
2.30 0.0345444 1.08354 1.07932 0.00422
2.30 0.0349119 1.17922 1.17466 0.00456
2.30 0.0352794 1.20709 1.20245 0.00464
2.30 0.0356468 1.31513 1.3101 0.00503
2.30 0.0360143 1.3339 1.32882 0.00508
2.30 0.0363818 1.39049 1.38518 0.00531
2.30 0.0367493 1.43955 1.43407 0.00548
2.30 0.0371168 1.49195 1.48629 0.00566
2.30 0.0374843 1.61301 1.60695 0.00606
2.30 0.0378518 1.69199 1.68568 0.00631
2.30 0.0382193 1.8497 1.84286 0.00684
2.30 0.0385868 1.84019 1.83338 0.00681
2.30 0.0389543 1.84553 1.83864 0.00689
2.30 0.0393218 1.81916 1.81233 0.00683
2.30 0.0396893 1.85159 1.84461 0.00698
2.30 0.0400568 1.95371 1.94638 0.00733
2.30 0.0404243 2.01555 2.00801 0.00754
2.30 0.0407918 2.16228 2.15423 0.00805
2.30 0.0411592 2.15109 2.14308 0.00801
2.30 0.0415267 2.20769 2.19945 0.00824
2.30 0.0418942 2.20372 2.19548 0.00824
2.30 0.0422617 2.25732 2.24886 0.00846
2.30 0.0426292 2.32664 2.31794 0.0087
2.30 0.0429967 2.36814 2.35927 0.00887
2.30 0.0433642 2.51451 2.50512 0.00939
2.30 0.0437317 2.55973 2.55018 0.00955
2.30 0.0440992 2.73605 2.72588 0.01017
2.30 0.0444667 2.80742 2.79703 0.01039
2.30 0.0448342 2.98875 2.97773 0.01102
2.30 0.0452017 3.19023 3.17857 0.01166
2.30 0.0455692 3.42952 3.41708 0.01244
2.30 0.0459367 3.75971 3.74621 0.0135
2.30 0.0463042 3.89516 3.88122 0.01394
2.30 0.0466716 4.06143 4.04691 0.01452
2.30 0.0470391 4.02683 4.01242 0.01441
2.30 0.0474066 4.11676 4.102 0.01476
2.30 0.0477741 4.17205 4.15708 0.01497
2.30 0.0481416 4.32385 4.30833 0.01552
2.30 0.0485091 4.57902 4.56265 0.01637
2.30 0.0488766 4.6806 4.66386 0.01674
2.30 0.0492441 4.82928 4.81197 0.01731
2.30 0.0496116 4.79166 4.77442 0.01724
2.30 0.0499791 4.9893 4.97132 0.01798
2.30 0.0503466 5.1079 5.08951 0.01839
2.30 0.0507141 5.35322 5.33395 0.01927
2.30 0.0510816 5.64351 5.62328 0.02023
2.30 0.0514491 5.90942 5.88827 0.02115
2.30 0.0518165 6.38497 6.36222 0.02275
2.30 0.052184 6.71057 6.68672 0.02385
2.30 0.0525515 7.29534 7.26952 0.02582
2.30 0.052919 7.67627 7.6492 0.02707
2.30 0.0532865 8.22735 8.19839 0.02896
2.30 0.053654 8.79818 8.76735 0.03083
2.30 0.0540215 9.43236 9.3994 0.03296
2.30 0.054389 10.2819 10.2462 0.0357
2.30 0.0547565 11.0239 10.9857 0.0382
2.30 0.055124 12.1714 12.1294 0.042
2.30 0.0554915 13.0947 13.0498 0.0449
2.30 0.055859 14.1035 14.0552 0.0483
2.30 0.0562265 14.7775 14.7269 0.0506
2.30 0.056594 15.612 15.5585 0.0535
2.30 0.0569615 16.7706 16.7132 0.0574
2.30 0.0573289 17.8471 17.7861 0.061
2.30 0.0576964 19.3347 19.2687 0.066
2.30 0.0580639 20.7197 20.6491 0.0706
2.30 0.0584314 22.7659 22.6886 0.0773
2.30 0.0587989 24.6749 24.5913 0.0836
2.30 0.0591664 26.9707 26.8794 0.0913
2.30 0.0595339 29.5752 29.4754 0.0998
2.30 0.0599014 32.368 32.2588 0.1092
2.30 0.0602689 35.5563 35.4365 0.1198
2.30 0.0606364 38.4479 38.3184 0.1295
2.30 0.0610039 42.8743 42.7301 0.1442
2.30 0.0613714 48.3833 48.221 0.1623
2.30 0.0617389 56.3977 56.2094 0.1883
2.30 0.0621064 65.845 65.6263 0.2187
2.30 0.0624739 75.6285 75.3778 0.2507
2.30 0.0628413 86.1572 85.8718 0.2854
2.30 0.0632088 98.5978 98.2709 0.3269
2.30 0.0635763 116.763 116.376 0.387
2.30 0.0639438 141.642 141.174 0.468
2.30 0.0643113 179.351 178.761 0.59
2.30 0.0646788 233.514 232.75 0.764
2.30 0.0650463 313.223 312.204 1.019
2.30 0.0654138 425.919 424.543 1.376
2.30 0.0657813 582.251 580.383 1.868
2.30 0.0661488 798.804 796.263 2.541
2.30 0.0665163 1067.44 1064.08 3.36
2.30 0.0668838 1320.75 1316.64 4.11
2.30 0.0672513 1370.68 1366.47 4.21
2.30 0.0676188 1155.97 1152.46 3.51
2.30 0.0679863 879.387 876.737 2.65
2.30 0.0683537 662.94 660.956 1.984
2.30 0.0687212 497.548 496.071 1.477
2.30 0.0690887 374.961 373.855 1.106
2.30 0.0694562 280.947 280.124 0.823
2.30 0.0698237 214.095 213.472 0.623
2.30 0.0701912 167.668 167.182 0.486
2.30 0.0705587 135.211 134.82 0.391
2.30 0.0709262 112.308 111.984 0.324
2.30 0.0712937 94.8813 94.6079 0.2734
2.30 0.0716612 82.6336 82.3959 0.2377
2.30 0.0720287 71.3857 71.181 0.2047
2.30 0.0723962 61.6536 61.4773 0.1763
2.30 0.0727637 52.9232 52.7724 0.1508
2.30 0.0731312 46.471 46.3389 0.1321
2.30 0.0734987 41.1885 41.0717 0.1168
2.30 0.0738661 36.341 36.2383 0.1027
2.30 0.0742336 32.73 32.6378 0.0922
2.30 0.0746011 29.2096 29.1277 0.0819
2.30 0.0749686 26.6427 26.5682 0.0745
2.30 0.0753361 23.8927 23.8262 0.0665
2.30 0.0757036 21.829 21.7687 0.0603
2.30 0.0760711 19.9082 19.8535 0.0547
2.30 0.0764386 18.2235 18.1736 0.0499
2.30 0.0768061 17.0051 16.9587 0.0464
2.30 0.0771736 15.6911 15.6484 0.0427
2.30 0.0775411 14.9191 14.8787 0.0404
2.30 0.0779086 13.7621 13.7249 0.0372
2.30 0.0782761 13.1133 13.0779 0.0354
2.30 0.0786436 12.4008 12.3673 0.0335
2.30 0.0790111 11.799 11.7671 0.0319
2.30 0.0793785 11.2108 11.1805 0.0303
2.30 0.079746 10.5426 10.5141 0.0285
2.30 0.0801135 10.3773 10.3492 0.0281
2.30 0.080481 9.97424 9.94722 0.02702
2.30 0.0808485 9.8666 9.83984 0.02676
2.30 0.081216 9.32167 9.29644 0.02523
2.30 0.0815835 8.78878 8.76512 0.02366
