# mu freq sigma_base sigma_full diff
2.33 0.0429967 0.0874869 0.0868323 0.0006546
2.33 0.0433642 0.0882962 0.0876387 0.0006575
2.33 0.0437317 0.0867568 0.0860946 0.0006622
2.33 0.0440992 0.0880857 0.0874218 0.0006639
2.33 0.0444667 0.0874092 0.0867355 0.0006737
2.33 0.0448342 0.0884682 0.0877938 0.0006744
2.33 0.0452017 0.0892932 0.0886069 0.0006863
2.33 0.0455692 0.0898969 0.089204 0.0006929
2.33 0.0459367 0.0924929 0.0917849 0.000708
2.33 0.0463042 0.093426 0.0927007 0.0007253
2.33 0.0466716 0.0975592 0.0968146 0.0007446
2.33 0.0470391 0.0986652 0.0978965 0.0007687
2.33 0.0474066 0.100178 0.0994051 0.0007729
2.33 0.0477741 0.0995098 0.0987285 0.0007813
2.33 0.0481416 0.0995206 0.0987388 0.0007818
2.33 0.0485091 0.10095 0.100157 0.000793
2.33 0.0488766 0.10109 0.100286 0.000804
2.33 0.0492441 0.104019 0.103203 0.000816
2.33 0.0496116 0.104467 0.103632 0.000835
2.33 0.0499791 0.107724 0.106875 0.000849
2.33 0.0503466 0.109156 0.108282 0.000874
2.33 0.0507141 0.111879 0.11099 0.000889
2.33 0.0510816 0.11478 0.113866 0.000914
2.33 0.0514491 0.116743 0.11581 0.000933
2.33 0.0518165 0.120975 0.120019 0.000956
2.33 0.052184 0.12269 0.121709 0.000981
2.33 0.0525515 0.127539 0.126536 0.001003
2.33 0.052919 0.129956 0.128921 0.001035
2.33 0.0532865 0.13457 0.133514 0.001056
2.33 0.053654 0.138529 0.13744 0.001089
2.33 0.0540215 0.142494 0.141378 0.001116
2.33 0.054389 0.148249 0.147097 0.001152
2.33 0.0547565 0.151917 0.150728 0.001189
2.33 0.055124 0.159019 0.157792 0.001227
2.33 0.0554915 0.163403 0.162131 0.001272
2.33 0.055859 0.171062 0.16975 0.001312
2.33 0.0562265 0.177357 0.175992 0.001365
2.33 0.056594 0.185073 0.18366 0.001413
2.33 0.0569615 0.194097 0.192625 0.001472
2.33 0.0573289 0.202197 0.200667 0.00153
2.33 0.0576964 0.214153 0.212557 0.001596
2.33 0.0580639 0.223968 0.222294 0.001674
2.33 0.0584314 0.238748 0.236994 0.001754
2.33 0.0587989 0.252383 0.25053 0.001853
2.33 0.0591664 0.270382 0.268423 0.001959
2.33 0.0595339 0.290463 0.288372 0.002091
2.33 0.0599014 0.313715 0.311473 0.002242
2.33 0.0602689 0.343741 0.341316 0.002425
2.33 0.0606364 0.37743 0.374781 0.002649
2.33 0.0610039 0.423786 0.420866 0.00292
2.33 0.0613714 0.479282 0.476011 0.003271
2.33 0.0617389 0.557305 0.553579 0.003726
2.33 0.0621064 0.661323 0.656971 0.004352
2.33 0.0624739 0.813469 0.808226 0.005243
2.33 0.0628413 1.03959 1.03304 0.00655
2.33 0.0632088 1.39274 1.38413 0.00861
2.33 0.0635763 1.94341 1.93162 0.01179
2.33 0.0639438 2.71346 2.69724 0.01622
2.33 0.0643113 3.36831 3.34838 0.01993
2.33 0.0646788 3.26299 3.24372 0.01927
2.33 0.0650463 2.56145 2.54625 0.0152
2.33 0.0654138 1.9262 1.91465 0.01155
2.33 0.0657813 1.52875 1.51946 0.00929
2.33 0.0661488 1.33963 1.33141 0.00822
2.33 0.0665163 1.30107 1.29303 0.00804
2.33 0.0668838 1.39938 1.39077 0.00861
2.33 0.0672513 1.60541 1.59559 0.00982
2.33 0.0676188 1.74588 1.73525 0.01063
2.33 0.0679863 1.63545 1.62543 0.01002
2.33 0.0683537 1.37507 1.36653 0.00854
2.33 0.0687212 1.1841 1.17663 0.00747
2.33 0.0690887 1.06614 1.05932 0.00682
2.33 0.0694562 1.02441 1.01782 0.00659
2.33 0.0698237 1.01912 1.01252 0.0066
2.33 0.0701912 1.04867 1.04189 0.00678
2.33 0.0705587 1.10949 1.10232 0.00717
2.33 0.0709262 1.18641 1.17877 0.00764
2.33 0.0712937 1.3068 1.29843 0.00837
2.33 0.0716612 1.44093 1.43173 0.0092
2.33 0.0720287 1.63518 1.62482 0.01036
2.33 0.0723962 1.86357 1.85183 0.01174
2.33 0.0727637 2.17372 2.16014 0.01358
2.33 0.0731312 2.57538 2.55939 0.01599
2.33 0.0734987 3.10687 3.08774 0.01913
2.33 0.0738661 3.85738 3.83381 0.02357
2.33 0.0742336 4.88429 4.85466 0.02963
2.33 0.0746011 6.43767 6.39892 0.03875
2.33 0.0749686 8.74117 8.68891 0.05226
2.33 0.0753361 12.4323 12.3585 0.0738
2.33 0.0757036 18.2085 18.1012 0.1073
2.33 0.0760711 26.5964 26.4408 0.1556
2.33 0.0764386 34.6319 34.431 0.2009
2.33 0.0768061 35.3513 35.1483 0.203
2.33 0.0771736 28.4042 28.2426 0.1616
2.33 0.0775411 20.0685 19.9549 0.1136
2.33 0.0779086 13.6847 13.6074 0.0773
2.33 0.0782761 9.52149 9.46783 0.05366
2.33 0.0786436 6.8991 6.86027 0.03883
2.33 0.0790111 5.16958 5.14048 0.0291
2.33 0.0793785 4.03524 4.0125 0.02274
2.33 0.079746 3.21211 3.19398 0.01813
2.33 0.0801135 2.64489 2.6299 0.01499
2.33 0.080481 2.2043 2.19177 0.01253
2.33 0.0808485 1.88026 1.8695 0.01076
2.33 0.081216 1.62745 1.6181 0.00935
2.33 0.0815835 1.42085 1.41262 0.00823
2.33 0.081951 1.26891 1.26153 0.00738
2.33 0.0823185 1.1282 1.12159 0.00661
2.33 0.082686 1.03095 1.02487 0.00608
2.33 0.0830535 0.934399 0.92887 0.005529
2.33 0.083421 0.865376 0.860212 0.005164
2.33 0.0837885 0.801939 0.79715 0.004789
2.33 0.084156 0.747495 0.742985 0.00451
2.33 0.0845234 0.708299 0.704017 0.004282
2.33 0.0848909 0.663917 0.659862 0.004055
2.33 0.0852584 0.639865 0.63593 0.003935
2.33 0.0856259 0.606263 0.602503 0.00376
2.33 0.0859934 0.589192 0.585485 0.003707
2.33 0.0863609 0.568193 0.5646 0.003593
2.33 0.0867284 0.55318 0.549625 0.003555
2.33 0.0870959 0.54464 0.541127 0.003513
2.33 0.0874634 0.53131 0.527831 0.003479
2.33 0.0878309 0.532351 0.528846 0.003505
2.33 0.0881984 0.524158 0.520675 0.003483
2.33 0.0885659 0.530836 0.527277 0.003559
2.33 0.0889334 0.532786 0.529206 0.00358
2.33 0.0893009 0.543196 0.539509 0.003687
2.33 0.0896684 0.559736 0.555954 0.003782
2.33 0.0900358 0.577135 0.573213 0.003922
2.33 0.0904033 0.612337 0.608207 0.00413
