# mu freq sigma_base sigma_full diff
2.30 0.0440992 0.310933 0.31056 0.000373
2.30 0.0444667 0.274625 0.274294 0.000331
2.30 0.0448342 0.234891 0.234595 0.000296
2.30 0.0452017 0.211195 0.210924 0.000271
2.30 0.0455692 0.191361 0.19111 0.000251
2.30 0.0459367 0.187298 0.187045 0.000253
2.30 0.0463042 0.177569 0.177329 0.00024
2.30 0.0466716 0.179367 0.179116 0.000251
2.30 0.0470391 0.176204 0.175962 0.000242
2.30 0.0474066 0.177296 0.177046 0.00025
2.30 0.0477741 0.180299 0.18005 0.000249
2.30 0.0481416 0.178723 0.178474 0.000249
2.30 0.0485091 0.186356 0.186095 0.000261
2.30 0.0488766 0.183703 0.183449 0.000254
2.30 0.0492441 0.192716 0.192444 0.000272
2.30 0.0496116 0.192637 0.192372 0.000265
2.30 0.0499791 0.199839 0.199557 0.000282
2.30 0.0503466 0.205933 0.205649 0.000284
2.30 0.0507141 0.210163 0.209867 0.000296
2.30 0.0510816 0.221052 0.220741 0.000311
2.30 0.0514491 0.218042 0.217733 0.000309
2.30 0.0518165 0.226421 0.226095 0.000326
2.30 0.052184 0.222857 0.222542 0.000315
2.30 0.0525515 0.23057 0.230239 0.000331
2.30 0.052919 0.233031 0.232706 0.000325
2.30 0.0532865 0.236743 0.23641 0.000333
2.30 0.053654 0.245962 0.245623 0.000339
2.30 0.0540215 0.245447 0.24511 0.000337
2.30 0.054389 0.259082 0.258726 0.000356
2.30 0.0547565 0.25799 0.257641 0.000349
2.30 0.055124 0.271566 0.271193 0.000373
2.30 0.0554915 0.275232 0.274864 0.000368
2.30 0.055859 0.285203 0.284815 0.000388
2.30 0.0562265 0.297956 0.297559 0.000397
2.30 0.056594 0.304514 0.304106 0.000408
2.30 0.0569615 0.323811 0.323377 0.000434
2.30 0.0573289 0.321711 0.321284 0.000427
2.30 0.0576964 0.333964 0.333516 0.000448
2.30 0.0580639 0.331511 0.331074 0.000437
2.30 0.0584314 0.341521 0.34106 0.000461
2.30 0.0587989 0.3492 0.348734 0.000466
2.30 0.0591664 0.354097 0.353619 0.000478
2.30 0.0595339 0.371269 0.370771 0.000498
2.30 0.0599014 0.372132 0.371635 0.000497
2.30 0.0602689 0.394243 0.393713 0.00053
2.30 0.0606364 0.397042 0.396514 0.000528
2.30 0.0610039 0.417741 0.417177 0.000564
2.30 0.0613714 0.429491 0.428921 0.00057
2.30 0.0617389 0.444611 0.444012 0.000599
2.30 0.0621064 0.468904 0.468278 0.000626
2.30 0.0624739 0.479891 0.479252 0.000639
2.30 0.0628413 0.516512 0.515827 0.000685
2.30 0.0632088 0.533999 0.533301 0.000698
2.30 0.0635763 0.583312 0.582548 0.000764
2.30 0.0639438 0.62805 0.627245 0.000805
2.30 0.0643113 0.705106 0.704205 0.000901
2.30 0.0646788 0.81913 0.818115 0.001015
2.30 0.0650463 0.967868 0.966698 0.00117
2.30 0.0654138 1.1423 1.14096 0.00134
2.30 0.0657813 1.16295 1.16161 0.00134
2.30 0.0661488 1.06411 1.06286 0.00125
2.30 0.0665163 0.923749 0.922652 0.001097
2.30 0.0668838 0.847347 0.84631 0.001037
2.30 0.0672513 0.80196 0.800974 0.000986
2.30 0.0676188 0.778145 0.777176 0.000969
2.30 0.0679863 0.785947 0.78497 0.000977
2.30 0.0683537 0.778106 0.77714 0.000966
2.30 0.0687212 0.809202 0.808192 0.00101
2.30 0.0690887 0.813226 0.812216 0.00101
2.30 0.0694562 0.849882 0.848814 0.001068
2.30 0.0698237 0.872993 0.871905 0.001088
2.30 0.0701912 0.906098 0.90496 0.001138
2.30 0.0705587 0.95537 0.954173 0.001197
2.30 0.0709262 0.989377 0.988133 0.001244
2.30 0.0712937 1.06829 1.06695 0.00134
2.30 0.0716612 1.11513 1.11374 0.00139
2.30 0.0720287 1.19206 1.19058 0.00148
2.30 0.0723962 1.22675 1.22524 0.00151
2.30 0.0727637 1.28858 1.28698 0.0016
2.30 0.0731312 1.36864 1.36695 0.00169
2.30 0.0734987 1.43024 1.42846 0.00178
2.30 0.0738661 1.49423 1.49236 0.00187
2.30 0.0742336 1.49356 1.49169 0.00187
2.30 0.0746011 1.55443 1.55247 0.00196
2.30 0.0749686 1.59046 1.58846 0.002
2.30 0.0753361 1.67972 1.67761 0.00211
2.30 0.0757036 1.77116 1.76896 0.0022
2.30 0.0760711 1.87607 1.87373 0.00234
2.30 0.0764386 2.03031 2.02781 0.0025
2.30 0.0768061 2.16509 2.16245 0.00264
2.30 0.0771736 2.3955 2.39261 0.00289
2.30 0.0775411 2.62517 2.62207 0.0031
2.30 0.0779086 2.99903 2.99554 0.00349
2.30 0.0782761 3.48758 3.48363 0.00395
2.30 0.0786436 4.21657 4.21187 0.0047
2.30 0.0790111 5.23534 5.22961 0.00573
2.30 0.0793785 6.15292 6.14623 0.00669
2.30 0.079746 6.32856 6.32165 0.00691
2.30 0.0801135 5.69374 5.68745 0.00629
2.30 0.080481 5.18367 5.17783 0.00584
2.30 0.0808485 4.8997 4.89409 0.00561
2.30 0.081216 4.91272 4.907 0.00572
2.30 0.0815835 5.12709 5.12105 0.00604
2.30 0.081951 5.49815 5.49162 0.00653
2.30 0.0823185 6.14014 6.13285 0.00729
2.30 0.082686 6.82845 6.82038 0.00807
2.30 0.0830535 7.54921 7.54029 0.00892
2.30 0.083421 7.92929 7.91988 0.00941
2.30 0.0837885 8.44672 8.43663 0.01009
2.30 0.084156 9.20149 9.19052 0.01097
2.30 0.0845234 10.2883 10.2761 0.0122
2.30 0.0848909 11.8232 11.8093 0.0139
2.30 0.0852584 13.7757 13.7596 0.0161
2.30 0.0856259 16.7439 16.7246 0.0193
2.30 0.0859934 20.8591 20.8355 0.0236
2.30 0.0863609 27.041 27.0112 0.0298
2.30 0.0867284 34.814 34.7764 0.0376
2.30 0.0870959 40.9818 40.9381 0.0437
2.30 0.0874634 42.0917 42.0469 0.0448
2.30 0.0878309 41.5258 41.4813 0.0445
2.30 0.0881984 44.3041 44.2562 0.0479
2.30 0.0885659 51.1744 51.119 0.0554
2.30 0.0889334 64.3605 64.2912 0.0693
2.30 0.0893009 85.3685 85.2775 0.091
2.30 0.0896684 120.316 120.189 0.127
2.30 0.0900358 175.637 175.455 0.182
2.30 0.0904033 255.389 255.127 0.262
2.30 0.0907708 327.053 326.721 0.332
2.30 0.0911383 318.867 318.55 0.317
2.30 0.0915058 239.728 239.494 0.234
2.30 0.0918733 162.202 162.046 0.156
2.30 0.0922408 109.664 109.56 0.104
2.30 0.0926083 76.5702 76.4978 0.0724
2.30 0.0929758 55.9044 55.8518 0.0526
2.30 0.0933433 41.9849 41.9455 0.0394
2.30 0.0937108 32.9042 32.8733 0.0309
2.30 0.0940783 26.1436 26.119 0.0246
2.30 0.0944458 21.5668 21.5464 0.0204
2.30 0.0948133 17.9817 17.9646 0.0171
2.30 0.0951808 15.4428 15.4281 0.0147
2.30 0.0955482 13.5999 13.5869 0.013
2.30 0.0959157 12.2912 12.2793 0.0119
2.30 0.0962832 11.7503 11.7388 0.0115
2.30 0.0966507 11.4808 11.4695 0.0113
2.30 0.0970182 11.2501 11.2391 0.011
2.30 0.0973857 9.91446 9.90486 0.0096
2.30 0.0977532 8.30424 8.29627 0.00797
2.30 0.0981207 6.91219 6.90554 0.00665
2.30 0.0984882 5.87789 5.87219 0.0057
2.30 0.0988557 5.185 5.17993 0.00507
2.30 0.0992232 4.54234 4.53788 0.00446
2.30 0.0995907 4.17112 4.16704 0.00408
2.30 0.0999582 3.73147 3.72782 0.00365
2.30 0.100326 3.48801 3.48462 0.00339
2.30 0.100693 3.20586 3.20274 0.00312
2.30 0.101061 3.00508 3.00218 0.0029
2.30 0.101428 2.86128 2.85855 0.00273
2.30 0.101796 2.68836 2.68583 0.00253
2.30 0.102163 2.65862 2.65614 0.00248
2.30 0.102531 2.55461 2.55223 0.00238
2.30 0.102898 2.62894 2.62649 0.00245
2.30 0.103266 2.69194 2.68939 0.00255
2.30 0.103633 2.9464 2.94355 0.00285
2.30 0.104001 3.39531 3.39195 0.00336
2.30 0.104368 4.11972 4.11559 0.00413
2.30 0.104736 5.17786 5.1727 0.00516
2.30 0.105103 5.75724 5.75162 0.00562
2.30 0.105471 5.35122 5.34617 0.00505
2.30 0.105838 4.25742 4.25351 0.00391
2.30 0.106206 3.3319 3.32894 0.00296
2.30 0.106573 2.59326 2.59099 0.00227
2.30 0.106941 2.10689 2.10507 0.00182
2.30 0.107308 1.80355 1.802 0.00155
2.30 0.107676 1.54531 1.544 0.00131
2.30 0.108043 1.42923 1.42804 0.00119
2.30 0.108411 1.26516 1.26411 0.00105
2.30 0.108778 1.21266 1.21167 0.00099
2.30 0.109145 1.11492 1.114 0.00092
2.30 0.109513 1.06971 1.06886 0.00085
2.30 0.10988 1.03291 1.03208 0.00083
2.30 0.110248 0.978808 0.978033 0.000775
2.30 0.110615 0.990234 0.989438 0.000796
2.30 0.110983 0.940891 0.940113 0.000778
2.30 0.11135 0.980662 0.979843 0.000819
2.30 0.111718 0.968112 0.967267 0.000845
2.30 0.112085 1.02707 1.02615 0.00092
2.30 0.112453 1.09558 1.09454 0.00104
2.30 0.11282 1.20878 1.20759 0.00119
2.30 0.113188 1.43957 1.43812 0.00145
2.30 0.113555 1.74806 1.74626 0.0018
2.30 0.113923 2.29116 2.28878 0.00238
2.30 0.11429 2.77855 2.77564 0.00291
2.30 0.114658 2.86265 2.85969 0.00296
2.30 0.115025 2.37368 2.37124 0.00244
2.30 0.115393 1.83433 1.83246 0.00187
2.30 0.11576 1.46099 1.45949 0.0015
2.30 0.116128 1.19299 1.19175 0.00124
2.30 0.116495 1.08019 1.07907 0.00112
2.30 0.116863 0.967137 0.966116 0.001021
2.30 0.11723 0.964176 0.963182 0.000994
2.30 0.117598 0.946299 0.945308 0.000991
2.30 0.117965 1.00019 0.999168 0.001022
2.30 0.118333 1.09026 1.08914 0.00112
2.30 0.1187 1.23184 1.23057 0.00127
2.30 0.119068 1.50978 1.50823 0.00155
2.30 0.119435 1.90446 1.90248 0.00198
2.30 0.119803 2.59979 2.5971 0.00269
2.30 0.12017 3.47324 3.46964 0.0036
2.30 0.120538 4.09643 4.09227 0.00416
2.30 0.120905 3.72776 3.72404 0.00372
2.30 0.121273 2.80115 2.79839 0.00276
2.30 0.12164 2.05679 2.05474 0.00205
2.30 0.122008 1.53993 1.53834 0.00159
2.30 0.122375 1.28226 1.28092 0.00134
2.30 0.122743 1.09506 1.09387 0.00119
2.30 0.12311 1.05274 1.05163 0.00111
2.30 0.123478 1.05715 1.05605 0.0011
2.30 0.123845 1.15686 1.1557 0.00116
2.30 0.124213 1.30846 1.30719 0.00127
2.30 0.12458 1.35259 1.3513 0.00129
2.30 0.124948 1.30838 1.30715 0.00123
2.30 0.125315 1.14827 1.14718 0.00109
2.30 0.125683 1.06907 1.06807 0.001
2.30 0.12605 1.0258 1.0248 0.001
2.30 0.126418 1.09063 1.08957 0.00106
2.30 0.126785 1.13941 1.1383 0.00111
2.30 0.127153 1.1043 1.10324 0.00106
2.30 0.12752 1.03461 1.03364 0.00097
2.30 0.127888 0.86401 0.863216 0.000794
2.30 0.128255 0.740656 0.740002 0.000654
2.33 0 0 0 0
2.33 0.000367493 5.63811e-05 5.61634e-05 2.177e-07
2.33 0.000734987 0.000246195 0.00024556 6.35e-07
2.33 0.00110248 0.000587522 0.000585456 2.066e-06
2.33 0.00146997 0.00122203 0.00121867 3.36e-06
2.33 0.00183747 0.00223966 0.00223243 7.23e-06
2.33 0.00220496 0.0039716 0.00395996 1.164e-05
2.33 0.00257245 0.00617235 0.00615373 1.862e-05
2.33 0.00293995 0.00763725 0.00761462 2.263e-05
2.33 0.00330744 0.00739027 0.00736904 2.123e-05
2.33 0.00367493 0.00652952 0.00650961 1.991e-05
2.33 0.00404243 0.00607166 0.00605465 1.701e-05
2.33 0.00440992 0.0059439 0.00592496 1.894e-05
2.33 0.00477741 0.00640145 0.00638297 1.848e-05
2.33 0.00514491 0.00699784 0.00697552 2.232e-05
2.33 0.0055124 0.00816379 0.00813849 2.53e-05
2.33 0.00587989 0.00953192 0.00950228 2.964e-05
2.33 0.00624739 0.0115093 0.011472 3.73e-05
2.33 0.00661488 0.0141039 0.0140607 4.32e-05
2.33 0.00698237 0.0174946 0.0174376 5.7e-05
2.33 0.00734987 0.0224404 0.0223719 6.85e-05
2.33 0.00771736 0.0290226 0.0289311 9.15e-05
2.33 0.00808485 0.0392921 0.0391721 0.00012
2.33 0.00845234 0.0542976 0.0541315 0.0001661
2.33 0.00881984 0.0788408 0.0786009 0.0002399
2.33 0.00918733 0.1176 0.117247 0.000353
2.33 0.00955482 0.175017 0.174491 0.000526
2.33 0.00992232 0.230881 0.230195 0.000686
2.33 0.0102898 0.237577 0.236867 0.00071
2.33 0.0106573 0.199605 0.199012 0.000593
2.33 0.0110248 0.165469 0.164975 0.000494
2.33 0.0113923 0.155267 0.154804 0.000463
2.33 0.0117598 0.168176 0.167676 0.0005
2.33 0.0121273 0.18806 0.187495 0.000565
2.33 0.0124948 0.179884 0.179346 0.000538
2.33 0.0128623 0.143202 0.142764 0.000438
2.33 0.0132298 0.107087 0.106761 0.000326
2.33 0.0135973 0.081699 0.0814425 0.0002565
2.33 0.0139647 0.0656317 0.065425 0.0002067
2.33 0.0143322 0.0550192 0.0548434 0.0001758
