# mu corr_flux alpha_flux mean_rel_peak max_rel_peak mean_ratio_peak rms_flux_peak dynamic_range mean_rel_curl_peak
2.76 5.642174e-01 5.280216e-01 5.447543e-01 5.447546e-01 4.552457e-01 6.458183e-09 6.546835e+00 5.447543e-01
2.77 6.203136e-01 5.245618e-01 2.358652e-01 2.358665e-01 7.641348e-01 2.857126e-09 5.834969e+00 2.358652e-01
2.78 6.941790e-01 5.449994e-01 9.083288e-02 9.083346e-02 1.090833e+00 1.245654e-09 5.894071e+00 9.083288e-02
2.79 7.732771e-01 5.842307e-01 3.270426e-01 3.270438e-01 6.729574e-01 5.640139e-09 7.352048e+00 3.270426e-01
2.80 7.877317e-01 6.689501e-01 6.566833e-02 6.566981e-02 9.343317e-01 9.742879e-10 5.617749e+00 6.566833e-02
2.81 7.184962e-01 1.000875e+00 4.245133e-01 4.245134e-01 5.754867e-01 4.468996e-09 8.219878e+00 4.245133e-01
2.82 8.674328e-01 7.506736e-01 1.246604e-01 1.246604e-01 8.753396e-01 1.533477e-09 5.396942e+00 1.246604e-01
2.83 9.453042e-01 7.490436e-01 1.722157e-01 1.722185e-01 8.277843e-01 3.384665e-09 6.528421e+00 1.722157e-01
2.84 9.627867e-01 7.733949e-01 2.948815e-01 2.948827e-01 7.051185e-01 6.189873e-09 6.199219e+00 2.948815e-01
2.85 9.775430e-01 7.941164e-01 2.914981e-01 2.915015e-01 7.085019e-01 6.716492e-09 6.684946e+00 2.914981e-01
2.86 9.851422e-01 8.084926e-01 1.654564e-01 1.654595e-01 8.345436e-01 3.924762e-09 6.688264e+00 1.654564e-01
2.87 9.871859e-01 8.183847e-01 1.987439e-01 1.987461e-01 8.012561e-01 5.271044e-09 7.464196e+00 1.987439e-01
2.88 9.869261e-01 8.251171e-01 2.726519e-01 2.726523e-01 7.273481e-01 6.898218e-09 7.309745e+00 2.726519e-01
2.89 9.872505e-01 8.296760e-01 1.398117e-01 1.398142e-01 8.601883e-01 3.732672e-09 7.514698e+00 1.398117e-01
2.90 9.869228e-01 8.327610e-01 1.084667e-01 1.084672e-01 8.915333e-01 2.794364e-09 7.249819e+00 1.084667e-01
2.91 9.862849e-01 8.343752e-01 1.839898e-01 1.839899e-01 8.160102e-01 4.648391e-09 7.160822e+00 1.839898e-01
2.92 9.870632e-01 8.361438e-01 1.708389e-01 1.708393e-01 8.291611e-01 4.537927e-09 7.398194e+00 1.708389e-01
2.93 9.871502e-01 8.370532e-01 1.628839e-01 1.628862e-01 8.371161e-01 4.434508e-09 7.485339e+00 1.628839e-01
2.94 9.861319e-01 8.367683e-01 2.252923e-01 2.252951e-01 7.747077e-01 5.761611e-09 7.159862e+00 2.252923e-01
2.95 9.864684e-01 8.375047e-01 1.289759e-01 1.289764e-01 8.710241e-01 3.345450e-09 7.305329e+00 1.289759e-01
2.96 9.868418e-01 8.378130e-01 1.167981e-01 1.167988e-01 8.832019e-01 3.161058e-09 7.581672e+00 1.167981e-01
2.97 9.863790e-01 8.376034e-01 1.215122e-01 1.215130e-01 8.784878e-01 3.232005e-09 7.551633e+00 1.215122e-01
2.98 9.858096e-01 8.373962e-01 1.215940e-01 1.215949e-01 8.784060e-01 3.122905e-09 7.359860e+00 1.215940e-01
2.99 9.861909e-01 8.378619e-01 2.075559e-01 2.075585e-01 7.924441e-01 5.538814e-09 7.516421e+00 2.075559e-01
3.00 9.857542e-01 8.373985e-01 1.919961e-01 1.920012e-01 8.080039e-01 4.965367e-09 7.266116e+00 1.919961e-01
3.01 9.865234e-01 8.379397e-01 1.469925e-01 1.469927e-01 8.530075e-01 3.953773e-09 7.575448e+00 1.469925e-01
3.02 9.866967e-01 8.380463e-01 2.091282e-01 2.091309e-01 7.908718e-01 5.523020e-09 7.426836e+00 2.091282e-01
3.03 9.870112e-01 8.382104e-01 1.316357e-01 1.316363e-01 8.683643e-01 3.651156e-09 7.864083e+00 1.316357e-01
3.04 9.869990e-01 8.382817e-01 1.318871e-01 1.318878e-01 8.681129e-01 3.668514e-09 7.912758e+00 1.318871e-01
3.05 9.867693e-01 8.381731e-01 1.979190e-01 1.979202e-01 8.020810e-01 5.557663e-09 7.847085e+00 1.979190e-01
3.06 9.863800e-01 8.378321e-01 1.928708e-01 1.928714e-01 8.071292e-01 5.204991e-09 7.516709e+00 1.928708e-01
3.07 9.862725e-01 8.377351e-01 1.845315e-01 1.845326e-01 8.154685e-01 5.060764e-09 7.866844e+00 1.845315e-01
3.08 9.868748e-01 8.381559e-01 1.292993e-01 1.292998e-01 8.707007e-01 3.572848e-09 7.759562e+00 1.292993e-01
3.09 9.866765e-01 8.381028e-01 1.294115e-01 1.294117e-01 8.705885e-01 3.525395e-09 7.650557e+00 1.294115e-01
3.10 9.867095e-01 8.380408e-01 1.290528e-01 1.290536e-01 8.709472e-01 3.590742e-09 7.908541e+00 1.290528e-01
3.11 9.866490e-01 8.381020e-01 1.962270e-01 1.962279e-01 8.037730e-01 5.283374e-09 7.634724e+00 1.962270e-01
3.12 9.860788e-01 8.377056e-01 1.320455e-01 1.320484e-01 8.679545e-01 3.416873e-09 7.392544e+00 1.320455e-01
3.13 9.861640e-01 8.377306e-01 1.529586e-01 1.529593e-01 8.470414e-01 4.053142e-09 7.515536e+00 1.529586e-01
3.14 9.866570e-01 8.380566e-01 1.296349e-01 1.296373e-01 8.703651e-01 3.565749e-09 7.846086e+00 1.296349e-01
3.15 9.862200e-01 8.377654e-01 1.523230e-01 1.523262e-01 8.476770e-01 4.163767e-09 7.886802e+00 1.523230e-01
