# mu freq sigma_L0 sigma_L1 sigma_L2 diff_L1 diff_L2
2.3 0.0257245 0.00133787 0.00151361 0.00151176 -0.00017574 -0.00017389
2.3 0.026092 0.00131394 0.00149389 0.00149429 -0.00017995 -0.00018035
2.3 0.0264595 0.00141485 0.00145754 0.00145883 -4.269e-05 -4.398e-05
2.3 0.026827 0.00143333 0.00141359 0.00141161 1.974e-05 2.172e-05
2.3 0.0271945 0.00156748 0.00161522 0.0016178 -4.774e-05 -5.032e-05
2.3 0.027562 0.00166549 0.00185861 0.00185833 -0.00019312 -0.00019284
2.3 0.0279295 0.00168903 0.00188545 0.0018846 -0.00019642 -0.00019557
2.3 0.028297 0.00175346 0.00190325 0.00190549 -0.00014979 -0.00015203
2.3 0.0286645 0.00162772 0.00185165 0.00184954 -0.00022393 -0.00022182
2.3 0.029032 0.00170617 0.00188965 0.00188994 -0.00018348 -0.00018377
2.3 0.0293995 0.00173008 0.00187186 0.00187229 -0.00014178 -0.00014221
2.3 0.029767 0.00188798 0.00186125 0.00185967 2.673e-05 2.831e-05
2.3 0.0301344 0.00192989 0.0017795 0.00177971 0.00015039 0.00015018
2.3 0.0305019 0.00189324 0.00190988 0.00191053 -1.664e-05 -1.729e-05
2.3 0.0308694 0.00189306 0.00200165 0.00200055 -0.00010859 -0.00010749
2.3 0.0312369 0.00181028 0.00198037 0.00198129 -0.00017009 -0.00017101
2.3 0.0316044 0.00209055 0.00235639 0.00235755 -0.00026584 -0.000267
2.3 0.0319719 0.00221864 0.00240507 0.00240318 -0.00018643 -0.00018454
2.3 0.0323394 0.00238432 0.00238527 0.00238786 -9.5e-07 -3.54e-06
2.3 0.0327069 0.00244564 0.00243906 0.0024385 6.58e-06 7.14e-06
2.3 0.0330744 0.00252429 0.002671 0.00267011 -0.00014671 -0.00014582
2.3 0.0334419 0.00265354 0.00282996 0.00283183 -0.00017642 -0.00017829
2.3 0.0338094 0.00254673 0.00258233 0.00257976 -3.56e-05 -3.303e-05
2.3 0.0341769 0.00254064 0.00242013 0.00242076 0.00012051 0.00011988
2.3 0.0345444 0.00247188 0.00224096 0.00224068 0.00023092 0.0002312
2.3 0.0349119 0.00261055 0.00244703 0.00244577 0.00016352 0.00016478
2.3 0.0352794 0.00261882 0.0026278 0.00262874 -8.98e-06 -9.92e-06
2.3 0.0356468 0.00270467 0.00271981 0.00271999 -1.514e-05 -1.532e-05
2.3 0.0360143 0.00278091 0.00278604 0.0027861 -5.13e-06 -5.19e-06
2.3 0.0363818 0.00286307 0.0028186 0.00281952 4.447e-05 4.355e-05
2.3 0.0367493 0.00314009 0.00304727 0.00304821 9.282e-05 9.188e-05
2.3 0.0371168 0.00309347 0.00316292 0.00316192 -6.945e-05 -6.845e-05
2.3 0.0374843 0.00315988 0.00328763 0.00328949 -0.00012775 -0.00012961
2.3 0.0378518 0.00312665 0.0031139 0.00311295 1.275e-05 1.37e-05
2.3 0.0382193 0.00321677 0.00315256 0.00315196 6.421e-05 6.481e-05
2.3 0.0385868 0.00325274 0.00319201 0.00319305 6.073e-05 5.969e-05
2.3 0.0389543 0.00323473 0.00319056 0.00318759 4.417e-05 4.714e-05
2.3 0.0393218 0.00326102 0.00337729 0.0033787 -0.00011627 -0.00011768
2.3 0.0396893 0.00323979 0.00347349 0.00347263 -0.0002337 -0.00023284
2.3 0.0400568 0.00338594 0.00374305 0.00374245 -0.00035711 -0.00035651
2.3 0.0404243 0.00333685 0.00379723 0.00379894 -0.00046038 -0.00046209
2.3 0.0407918 0.00365324 0.00406269 0.00406213 -0.00040945 -0.00040889
2.3 0.0411592 0.00372552 0.00410542 0.00410685 -0.0003799 -0.00038133
2.3 0.0415267 0.00384981 0.00400314 0.00400344 -0.00015333 -0.00015363
2.3 0.0418942 0.00400592 0.00384916 0.00384966 0.00015676 0.00015626
2.3 0.0422617 0.00378258 0.00349274 0.00349227 0.00028984 0.00029031
