# mu omega_base omega_full
2.300000 2.080001 2.080001
2.310000 2.080001 2.080001
2.320000 2.090002 2.090002
2.330000 2.090002 2.090002
2.340000 2.090002 2.090002
2.350000 2.090002 2.090002
2.360000 2.090002 2.090002
2.370000 2.090002 2.090002
2.380000 2.090002 2.090002
2.390000 2.090002 2.090002
2.400000 2.090002 2.090002
2.410000 2.090002 2.090002
2.420000 2.090002 2.090002
2.430000 2.100002 2.100002
2.440000 2.100002 2.100002
2.450000 2.110002 2.110002
2.460000 2.110002 2.110002
2.470000 2.120002 2.120002
2.480000 2.140002 2.140002
2.490000 2.150003 2.150003
2.500000 2.160000 2.160000
2.510000 2.170000 2.170000
2.520000 2.170000 2.170000
2.530000 2.180000 2.180000
2.540000 2.180000 2.180000
2.550000 2.190001 2.190001
2.560000 2.190001 2.190001
2.570000 2.190001 2.190001
2.580000 2.190001 2.190001
2.590000 2.190001 2.190001
2.600000 2.190001 2.190001
2.610000 2.200001 2.200001
2.620000 2.200001 2.200001
2.630000 2.200001 2.200001
2.640000 2.200001 2.200001
2.650000 2.200001 2.200001
2.660000 2.200001 2.200001
2.670000 2.200001 2.200001
2.680000 2.200001 2.200001
2.690000 2.200001 2.200001
2.700000 2.210001 2.210001
2.710000 2.210001 2.210001
2.720000 2.220001 2.220001
2.730000 2.230001 2.230001
2.740000 2.240002 2.240002
2.750000 2.260002 2.260002
2.760000 2.280002 2.280002
2.770000 2.310000 2.310000
2.780000 2.350001 2.350001
2.790000 2.400002 2.400002
2.800000 2.450000 2.450000
2.810000 2.500001 2.500001
2.820000 2.560002 2.560002
2.830000 2.610000 2.610000
2.840000 2.650001 2.650001
2.850000 2.690002 2.690002
2.860000 2.720003 2.720003
2.870000 3.409997 3.409997
2.880000 3.120005 3.120005
2.890000 3.120005 3.120005
2.900000 3.120005 3.120005
2.910000 3.120005 3.120005
2.920000 3.120005 3.120005
2.930000 3.120005 3.120005
2.940000 3.120005 3.120005
2.950000 3.120005 3.120005
2.960000 3.120005 3.120005
2.970000 3.120005 3.120005
2.980000 3.120005 3.120005
2.990000 3.120005 3.120005
3.000000 3.120005 3.120005
3.010000 3.120005 3.120005
3.020000 3.120005 3.120005
3.030000 3.120005 3.120005
3.040000 3.120005 3.120005
3.050000 3.120005 3.120005
3.060000 3.120005 3.120005
3.070000 3.120005 3.120005
3.080000 3.120005 3.120005
3.090000 3.120005 3.120005
3.100000 3.120005 3.120005
3.110000 3.120005 3.120005
3.120000 3.120005 3.120005
3.130000 3.120005 3.120005
3.140000 3.120005 3.120005
3.150000 3.120005 3.120005
3.160000 3.120005 3.120005
3.170000 3.120005 3.120005
3.180000 3.120005 3.120005
3.190000 3.120005 3.120005
3.200000 3.120005 3.120005
3.210000 3.120005 3.120005
3.220000 3.120005 3.120005
3.230000 3.120005 3.120005
3.240000 3.120005 3.120005
3.250000 3.120005 3.120005
3.260000 3.120005 3.120005
3.270000 3.120005 3.120005
3.280000 3.120005 3.120005
3.290000 3.120005 3.120005
3.300000 3.120005 3.120005
3.310000 3.120005 3.120005
3.320000 3.120005 3.120005
3.330000 3.120005 3.120005
3.340000 3.129991 3.129991
3.350000 3.129991 3.129991
3.360000 3.140005 3.140005
3.370000 3.149992 3.149992
3.380000 3.160005 3.160005
3.390000 3.169992 3.169992
3.400000 3.189992 3.189992
3.410000 3.200006 3.200006
3.420000 3.220007 3.220007
3.430000 3.240007 3.240007
3.440000 3.260007 3.260007
3.450000 3.269994 3.269994
3.460000 3.289994 3.289994
3.470000 3.300008 3.300008
3.480000 3.309995 3.309995
3.490000 3.309995 3.309995
3.500000 3.320008 3.320008
