# mu freq sigma_base sigma_full diff
2.30 0 0 0 0
2.30 0.000367493 5.80864e-05 5.76534e-05 4.33e-07
2.30 0.000734987 0.000232822 0.000231168 1.654e-06
2.30 0.00110248 0.000526518 0.000523041 3.477e-06
2.30 0.00146997 0.00094386 0.000938601 5.259e-06
2.30 0.00183747 0.00149233 0.00148579 6.54e-06
2.30 0.00220496 0.00218328 0.00217519 8.09e-06
2.30 0.00257245 0.00303294 0.00302202 1.092e-05
2.30 0.00293995 0.00406407 0.00404951 1.456e-05
2.30 0.00330744 0.00530979 0.00529231 1.748e-05
2.30 0.00367493 0.00682106 0.00680129 1.977e-05
2.30 0.00404243 0.00867876 0.00865519 2.357e-05
2.30 0.00440992 0.011015 0.0109847 3.03e-05
2.30 0.00477741 0.0140535 0.014015 3.85e-05
2.30 0.00514491 0.0181752 0.0181285 4.67e-05
2.30 0.0055124 0.0239445 0.0238875 5.7e-05
2.30 0.00587989 0.0316354 0.0315623 7.31e-05
2.30 0.00624739 0.0393551 0.0392634 9.17e-05
2.30 0.00661488 0.0436171 0.0435151 0.000102
2.30 0.00698237 0.0461025 0.0459971 0.0001054
2.30 0.00734987 0.0509693 0.050856 0.0001133
2.30 0.00771736 0.0604397 0.0603055 0.0001342
2.30 0.00808485 0.0765788 0.0764073 0.0001715
2.30 0.00845234 0.103113 0.102885 0.000228
2.30 0.00881984 0.145906 0.145592 0.000314
2.30 0.00918733 0.207501 0.207062 0.000439
2.30 0.00955482 0.263968 0.263411 0.000557
2.30 0.00992232 0.264363 0.263802 0.000561
2.30 0.0102898 0.218139 0.217673 0.000466
2.30 0.0106573 0.17307 0.1727 0.00037
2.30 0.0110248 0.14454 0.14423 0.00031
2.30 0.0113923 0.129442 0.129157 0.000285
2.30 0.0117598 0.122825 0.122548 0.000277
2.30 0.0121273 0.122268 0.121991 0.000277
2.30 0.0124948 0.127705 0.12742 0.000285
2.30 0.0128623 0.139906 0.139596 0.00031
2.30 0.0132298 0.160512 0.160153 0.000359
2.30 0.0135973 0.192167 0.191737 0.00043
2.30 0.0139647 0.237822 0.237298 0.000524
2.30 0.0143322 0.296712 0.296069 0.000643
2.30 0.0146997 0.356836 0.356066 0.00077
2.30 0.0150672 0.41754 0.416638 0.000902
2.30 0.0154347 0.489601 0.488546 0.001055
2.30 0.0158022 0.570304 0.569087 0.001217
2.30 0.0161697 0.682187 0.680747 0.00144
2.30 0.0165372 0.810771 0.809069 0.001702
2.30 0.0169047 0.871127 0.869299 0.001828
2.30 0.0172722 0.865061 0.863247 0.001814
2.30 0.0176397 0.825144 0.823422 0.001722
2.30 0.0180072 0.780573 0.778948 0.001625
2.30 0.0183747 0.800621 0.798951 0.00167
2.30 0.0187422 0.883944 0.8821 0.001844
2.30 0.0191096 0.918747 0.916838 0.001909
2.30 0.0194771 0.847311 0.845556 0.001755
2.30 0.0198446 0.765927 0.764337 0.00159
2.30 0.0202121 0.709145 0.707662 0.001483
2.30 0.0205796 0.636711 0.635369 0.001342
2.30 0.0209471 0.554203 0.553028 0.001175
2.30 0.0213146 0.49567 0.494619 0.001051
2.30 0.0216821 0.461897 0.460911 0.000986
2.30 0.0220496 0.441762 0.440806 0.000956
2.30 0.0224171 0.419354 0.418433 0.000921
2.30 0.0227846 0.394723 0.39385 0.000873
2.30 0.0231521 0.380298 0.379453 0.000845
2.30 0.0235196 0.379331 0.378476 0.000855
2.30 0.0238871 0.390418 0.389519 0.000899
2.30 0.0242546 0.41238 0.411423 0.000957
2.30 0.024622 0.444596 0.44357 0.001026
2.30 0.0249895 0.487516 0.4864 0.001116
2.30 0.025357 0.542433 0.541193 0.00124
2.30 0.0257245 0.609762 0.608367 0.001395
2.30 0.026092 0.689821 0.688257 0.001564
2.30 0.0264595 0.795011 0.793237 0.001774
2.30 0.026827 0.949359 0.947274 0.002085
2.30 0.0271945 1.18326 1.1807 0.00256
2.30 0.027562 1.54555 1.54225 0.0033
2.30 0.0279295 2.11936 2.11492 0.00444
2.30 0.028297 3.02072 3.0145 0.00622
2.30 0.0286645 4.26475 4.25611 0.00864
2.30 0.029032 5.28742 5.2768 0.01062
2.30 0.0293995 5.12285 5.1126 0.01025
2.30 0.029767 4.15979 4.15146 0.00833
2.30 0.0301344 3.33195 3.32524 0.00671
2.30 0.0305019 2.78622 2.78057 0.00565
2.30 0.0308694 2.43595 2.43097 0.00498
2.30 0.0312369 2.32066 2.31589 0.00477
2.30 0.0316044 2.4044 2.39947 0.00493
2.30 0.0319719 2.4317 2.42673 0.00497
2.30 0.0323394 2.18897 2.18445 0.00452
2.30 0.0327069 1.88097 1.87703 0.00394
2.30 0.0330744 1.68955 1.68597 0.00358
2.30 0.0334419 1.58238 1.57902 0.00336
2.30 0.0338094 1.50703 1.50381 0.00322
2.30 0.0341769 1.50077 1.49755 0.00322
2.30 0.0345444 1.60319 1.59975 0.00344
2.30 0.0349119 1.83779 1.83387 0.00392
2.30 0.0352794 2.22841 2.22371 0.0047
2.30 0.0356468 2.75438 2.74863 0.00575
2.30 0.0360143 3.12802 3.12152 0.0065
2.30 0.0363818 2.98072 2.9745 0.00622
2.30 0.0367493 2.52209 2.51679 0.0053
2.30 0.0371168 2.15887 2.1543 0.00457
2.30 0.0374843 2.02246 2.01816 0.0043
2.30 0.0378518 2.11808 2.11358 0.0045
