# mu freq sigma_base sigma_full diff
0 0 0 0 0
0 0.000367493 1.44996e-07 2.9651e-07 -1.51514e-07
0 0.000734987 5.81261e-07 1.16732e-06 -5.86059e-07
0 0.00110248 1.30405e-06 2.60353e-06 -1.29948e-06
0 0.00146997 2.30627e-06 4.61597e-06 -2.3097e-06
0 0.00183747 3.6021e-06 7.21987e-06 -3.61777e-06
0 0.00220496 5.21232e-06 1.04234e-05 -5.21108e-06
0 0.00257245 7.11094e-06 1.42029e-05 -7.09196e-06
0 0.00293995 9.27249e-06 1.85442e-05 -9.27171e-06
0 0.00330744 1.17233e-05 2.34527e-05 -1.17294e-05
0 0.00367493 1.44863e-05 2.89848e-05 -1.44985e-05
0 0.00404243 1.75475e-05 3.51498e-05 -1.76023e-05
0 0.00440992 2.09144e-05 4.1875e-05 -2.09606e-05
0 0.00477741 2.45799e-05 4.9169e-05 -2.45891e-05
0 0.00514491 2.85065e-05 5.69538e-05 -2.84473e-05
0 0.0055124 3.26948e-05 6.53065e-05 -3.26117e-05
0 0.00587989 3.71995e-05 7.43337e-05 -3.71342e-05
0 0.00624739 4.20215e-05 8.40355e-05 -4.2014e-05
0 0.00661488 4.71321e-05 9.42309e-05 -4.70988e-05
0 0.00698237 5.25018e-05 0.000104933 -5.24312e-05
0 0.00734987 5.81692e-05 0.000116284 -5.81148e-05
0 0.00771736 6.41587e-05 0.000128341 -6.41823e-05
0 0.00808485 7.04425e-05 0.000141002 -7.05595e-05
0 0.00845234 7.69975e-05 0.000154128 -7.71305e-05
0 0.00881984 8.38884e-05 0.00016779 -8.39016e-05
0 0.00918733 9.10993e-05 0.000182168 -9.10687e-05
0 0.00955482 9.85583e-05 0.000197184 -9.86257e-05
0 0.00992232 0.000106284 0.000212851 -0.000106567
0 0.0102898 0.000114355 0.000228823 -0.000114468
0 0.0106573 0.000122754 0.000245288 -0.000122534
0 0.0110248 0.000131411 0.000262585 -0.000131174
0 0.0113923 0.000140286 0.000280464 -0.000140178
0 0.0117598 0.000149479 0.000298887 -0.000149408
0 0.0121273 0.000159062 0.000318132 -0.00015907
0 0.0124948 0.000168983 0.000337895 -0.000168912
0 0.0128623 0.000179113 0.000358148 -0.000179035
0 0.0132298 0.000189395 0.000378873 -0.000189478
0 0.0135973 0.00019993 0.00040001 -0.00020008
0 0.0139647 0.000210952 0.000421991 -0.000211039
0 0.0143322 0.000222452 0.000444879 -0.000222427
0 0.0146997 0.000234134 0.000468248 -0.000234114
0 0.0150672 0.000245972 0.000492038 -0.000246066
0 0.0154347 0.000258166 0.000516319 -0.000258153
0 0.0158022 0.000270721 0.000541417 -0.000270696
0 0.0161697 0.000283563 0.000567385 -0.000283822
0 0.0165372 0.000296801 0.000593817 -0.000297016
0 0.0169047 0.000310422 0.00062072 -0.000310298
0 0.0172722 0.000324223 0.000648346 -0.000324123
0 0.0176397 0.000338178 0.0006763 -0.000338122
0 0.0180072 0.000352475 0.00070468 -0.000352205
0 0.0183747 0.000367081 0.000733767 -0.000366686
0 0.0187422 0.000381921 0.000763498 -0.000381577
0 0.0191096 0.000397144 0.000794296 -0.000397152
0 0.0194771 0.000412868 0.000825963 -0.000413095
0 0.0198446 0.000428831 0.000857896 -0.000429065
0 0.0202121 0.000445009 0.000890308 -0.000445299
0 0.0205796 0.000461649 0.000923625 -0.000461976
0 0.0209471 0.000478714 0.000957503 -0.000478789
0 0.0213146 0.000495812 0.000991695 -0.000495883
0 0.0216821 0.000513013 0.00102608 -0.000513067
0 0.0220496 0.000530694 0.0010612 -0.000530506
0 0.0224171 0.000548901 0.00109742 -0.000548519
0 0.0227846 0.000567403 0.00113471 -0.000567307
0 0.0231521 0.000586171 0.00117252 -0.000586349
0 0.0235196 0.000605244 0.00121048 -0.000605236
0 0.0238871 0.000624625 0.00124894 -0.000624315
0 0.0242546 0.000644306 0.0012886 -0.000644294
0 0.024622 0.000664417 0.00132928 -0.000664863
0 0.0249895 0.000684956 0.00137034 -0.000685384
0 0.025357 0.000705701 0.0014115 -0.000705799
0 0.0257245 0.000726522 0.00145309 -0.000726568
0 0.026092 0.000747753 0.00149526 -0.000747507
0 0.0264595 0.000769532 0.00153853 -0.000768998
0 0.026827 0.000791541 0.00158276 -0.000791219
0 0.0271945 0.000813796 0.00162742 -0.000813624
0 0.027562 0.000836533 0.00167246 -0.000835927
0 0.0279295 0.000859542 0.00171861 -0.000859068
0 0.028297 0.00088265 0.00176543 -0.00088278
0 0.0286645 0.000906213 0.001813 -0.000906787
0 0.029032 0.000930289 0.00186138 -0.000931091
0 0.0293995 0.000954585 0.00191004 -0.000955455
0 0.029767 0.000979132 0.00195899 -0.000979858
0 0.0301344 0.00100417 0.00200871 -0.00100454
0 0.0305019 0.00102959 0.00205887 -0.00102928
0 0.0308694 0.00105522 0.00210996 -0.00105474
0 0.0312369 0.00108121 0.00216218 -0.00108097
0 0.0316044 0.00110793 0.00221529 -0.00110736
0 0.0319719 0.00113499 0.00226928 -0.00113429
0 0.0323394 0.00116187 0.00232366 -0.00116179
0 0.0327069 0.00118905 0.00237865 -0.0011896
0 0.0330744 0.00121714 0.00243441 -0.00121727
0 0.0334419 0.00124545 0.00249006 -0.00124461
0 0.0338094 0.00127348 0.00254637 -0.00127289
0 0.0341769 0.00130182 0.00260392 -0.0013021
0 0.0345444 0.00133112 0.00266245 -0.00133133
0 0.0349119 0.00136102 0.00272214 -0.00136112
0 0.0352794 0.00139099 0.00278239 -0.0013914
0 0.0356468 0.00142113 0.00284261 -0.00142148
0 0.0360143 0.00145183 0.00290379 -0.00145196
0 0.0363818 0.00148288 0.00296613 -0.00148325
0 0.0367493 0.00151416 0.00302867 -0.00151451
0 0.0371168 0.00154591 0.00309156 -0.00154565
0 0.0374843 0.00157817 0.00315546 -0.00157729
0 0.0378518 0.00161062 0.00322105 -0.00161043
0 0.0382193 0.00164337 0.00328753 -0.00164416
0 0.0385868 0.00167666 0.00335416 -0.0016775
0 0.0389543 0.00171041 0.00342088 -0.00171047
0 0.0393218 0.00174438 0.00348846 -0.00174408
0 0.0396893 0.0017787 0.00355722 -0.00177852
0 0.0400568 0.0018136 0.00362714 -0.00181354
0 0.0404243 0.00184883 0.00369707 -0.00184824
0 0.0407918 0.0018843 0.00376751 -0.00188321
0 0.0411592 0.00192025 0.00383984 -0.00191959
0 0.0415267 0.00195669 0.00391352 -0.00195683
0 0.0418942 0.00199346 0.00398739 -0.00199393
0 0.0422617 0.00203032 0.00406143 -0.00203111
0 0.0426292 0.00206753 0.00413564 -0.00206811
0 0.0429967 0.00210555 0.0042109 -0.00210535
0 0.0433642 0.00214426 0.00428768 -0.00214342
0 0.0437317 0.00218335 0.00436594 -0.00218259
0 0.0440992 0.00222247 0.00444467 -0.0022222
0 0.0444667 0.00226154 0.00452375 -0.00226221
0 0.0448342 0.00230101 0.00460344 -0.00230243
0 0.0452017 0.00234148 0.00468421 -0.00234273
0 0.0455692 0.00238258 0.00476583 -0.00238325
0 0.0459367 0.00242405 0.00484888 -0.00242483
0 0.0463042 0.00246595 0.00493221 -0.00246626
0 0.0466716 0.00250816 0.00501527 -0.00250711
0 0.0470391 0.00255045 0.00509933 -0.00254888
0 0.0474066 0.00259324 0.00518539 -0.00259215
0 0.0477741 0.00263697 0.00527307 -0.0026361
0 0.0481416 0.00268139 0.00536211 -0.00268072
0 0.0485091 0.00272583 0.00545146 -0.00272563
0 0.0488766 0.00277027 0.00554046 -0.00277019
0 0.0492441 0.00281515 0.0056302 -0.00281505
0 0.0496116 0.00286062 0.00572149 -0.00286087
0 0.0499791 0.00290669 0.00581423 -0.00290754
0 0.0503466 0.00295365 0.00590759 -0.00295394
0 0.0507141 0.00300082 0.00600153 -0.00300071
0 0.0510816 0.00304774 0.00609668 -0.00304894
0 0.0514491 0.00309539 0.00619274 -0.00309735
0 0.0518165 0.00314429 0.00628959 -0.0031453
0 0.052184 0.00319355 0.00638717 -0.00319362
0 0.0525515 0.00324298 0.00648526 -0.00324228
0 0.052919 0.00329314 0.00658483 -0.00329169
0 0.0532865 0.00334385 0.00668632 -0.00334247
0 0.053654 0.00339447 0.00678849 -0.00339402
0 0.0540215 0.00344532 0.00689066 -0.00344534
0 0.054389 0.00349712 0.00699371 -0.00349659
0 0.0547565 0.00354957 0.0070988 -0.00354923
0 0.055124 0.00360203 0.00720506 -0.00360303
0 0.0554915 0.00365512 0.0073118 -0.00365668
0 0.055859 0.00370985 0.00742019 -0.00371034
0 0.0562265 0.00376525 0.00752868 -0.00376343
0 0.056594 0.00381994 0.00763835 -0.00381841
0 0.0569615 0.00387464 0.00774987 -0.00387523
0 0.0573289 0.00393072 0.00786199 -0.00393127
0 0.0576964 0.00398771 0.00797518 -0.00398747
0 0.0580639 0.00404505 0.00809084 -0.00404579
0 0.0584314 0.00410286 0.00820621 -0.00410335
0 0.0587989 0.00416105 0.00832145 -0.0041604
0 0.0591664 0.00421909 0.00843837 -0.00421928
0 0.0595339 0.00427799 0.00855697 -0.00427898
0 0.0599014 0.00433874 0.00867773 -0.00433899
