# mu freq sigma_base sigma_full diff
2.31 0 0 0 0
2.31 0.000367493 2.64882e-05 1.62051e-05 1.02831e-05
2.31 0.000734987 7.93937e-05 5.15516e-05 2.78421e-05
2.31 0.00110248 0.000128922 9.11857e-05 3.77363e-05
2.31 0.00146997 0.000168517 0.000131968 3.6549e-05
2.31 0.00183747 0.000203531 0.000176708 2.6823e-05
2.31 0.00220496 0.000241485 0.000229128 1.2357e-05
2.31 0.00257245 0.000289845 0.000292891 -3.046e-06
2.31 0.00293995 0.000356771 0.000372268 -1.5497e-05
2.31 0.00330744 0.000446794 0.000469943 -2.3149e-05
2.31 0.00367493 0.000558688 0.000585531 -2.6843e-05
2.31 0.00404243 0.000686368 0.000715909 -2.9541e-05
2.31 0.00440992 0.00082628 0.00085935 -3.307e-05
2.31 0.00477741 0.000981141 0.00101781 -3.6669e-05
2.31 0.00514491 0.00115324 0.00119323 -3.999e-05
2.31 0.0055124 0.00134412 0.00138666 -4.254e-05
2.31 0.00587989 0.00155585 0.00159891 -4.306e-05
2.31 0.00624739 0.00179114 0.00183167 -4.053e-05
2.31 0.00661488 0.00205359 0.00208792 -3.433e-05
2.31 0.00698237 0.00234798 0.00237134 -2.336e-05
2.31 0.00734987 0.00267924 0.00268485 -5.61e-06
2.31 0.00771736 0.00304986 0.00303004 1.982e-05
2.31 0.00808485 0.00345704 0.00340685 5.019e-05
2.31 0.00845234 0.00389368 0.00381399 7.969e-05
2.31 0.00881984 0.00435646 0.0042522 0.00010426
2.31 0.00918733 0.00485549 0.00472837 0.00012712
2.31 0.00955482 0.00541249 0.00525579 0.0001567
2.31 0.00992232 0.00605044 0.00585096 0.00019948
2.31 0.0102898 0.0067839 0.00652942 0.00025448
2.31 0.0106573 0.00762015 0.00730639 0.00031376
2.31 0.0110248 0.00857495 0.0082062 0.00036875
2.31 0.0113923 0.0096726 0.00926178 0.00041082
2.31 0.0117598 0.0108777 0.0104505 0.0004272
2.31 0.0121273 0.0119647 0.0115534 0.0004113
2.31 0.0124948 0.0127521 0.0123798 0.0003723
2.31 0.0128623 0.0135071 0.0131799 0.0003272
2.31 0.0132298 0.0144937 0.0142082 0.0002855
2.31 0.0135973 0.0157844 0.0155343 0.0002501
2.31 0.0139647 0.0174048 0.0171833 0.0002215
2.31 0.0143322 0.0193983 0.0191973 0.000201
2.31 0.0146997 0.0218381 0.0216495 0.0001886
2.31 0.0150672 0.0248384 0.0246555 0.0001829
2.31 0.0154347 0.0285718 0.0283899 0.0001819
2.31 0.0158022 0.033296 0.0331111 0.0001849
2.31 0.0161697 0.0393978 0.0392051 0.0001927
2.31 0.0165372 0.0474721 0.0472671 0.000205
2.31 0.0169047 0.0584676 0.0582502 0.0002174
2.31 0.0172722 0.0739562 0.0737324 0.0002238
2.31 0.0176397 0.0966388 0.0964181 0.0002207
2.31 0.0180072 0.131282 0.131072 0.00021
2.31 0.0183747 0.186242 0.18604 0.000202
2.31 0.0187422 0.274398 0.274185 0.000213
2.31 0.0191096 0.404016 0.403735 0.000281
2.31 0.0194771 0.532038 0.53159 0.000448
2.31 0.0198446 0.539897 0.539259 0.000638
2.31 0.0202121 0.424016 0.423304 0.000712
2.31 0.0205796 0.300158 0.299466 0.000692
2.31 0.0209471 0.213885 0.213237 0.000648
2.31 0.0213146 0.159453 0.158846 0.000607
2.31 0.0216821 0.125135 0.124562 0.000573
2.31 0.0220496 0.102967 0.102431 0.000536
2.31 0.0224171 0.0882971 0.0878047 0.0004924
